reconstructed_sentence,sentence_original,pattern,matrix_language,group_code,group,participant_id,filler_count,has_fillers
好 啊,好啊.,C2,Cantonese,HE,Heritage,ACHE2012,1,True
我 喺 美國 出世,我喺美國出世.,C4,Cantonese,HE,Heritage,ACHE2012,0,False
但係 我 覺得 好多 人 都 唔 識 係 邊度 㗎,但係我覺得.. 好多人都唔識係邊度㗎.,C11,Cantonese,HE,Heritage,ACHE2012,1,True
我 讀緊 書,我:: 讀緊書.,C3,Cantonese,HE,Heritage,ACHE2012,0,False
係 我 嘅 媽咪 爸,係我嘅媽咪爸(x).,C5,Cantonese,HE,Heritage,ACHE2012,0,False
佢 喺 香港 住 係 因為 佢 係 香港 本地人,佢喺香港住係因為佢係香港本地人.,C10,Cantonese,HE,Heritage,ACHE2012,0,False
佢 喺 深圳 出世 㗎,佢:: 喺深圳出世㗎.,C5,Cantonese,HE,Heritage,ACHE2012,0,False
但係 我 唔係 好 清楚,但係我唔係好清楚.,C5,Cantonese,HE,Heritage,ACHE2012,0,False
我 有,我:: 有.,C2,Cantonese,HE,Heritage,ACHE2012,0,False
唔係 而家 係,唔係.,C3,Cantonese,HE,Heritage,ACHE2012,0,False
喺 美國,喺美國.,C2,Cantonese,HE,Heritage,ACHE2012,0,False
最長 應該 係 有 三 個 月,最長:: 應該係有.. 三:: 個.. 月.,C7,Cantonese,HE,Heritage,ACHE2012,0,False
三 個月,三個月.,C2,Cantonese,HE,Heritage,ACHE2012,0,False
叫 我哋 去 㗎 佢哋 要求 我哋 去,佢哋:: 要求我哋去.,C8,Cantonese,HE,Heritage,ACHE2012,0,False
佢 會 拜 吓 神,(佢)會拜吓神 .,C5,Cantonese,HE,Heritage,ACHE2012,0,False
我 而家,我而家?,C2,Cantonese,HE,Heritage,ACHE2020,0,False
做緊 嘢,做緊嘢.,C2,Cantonese,HE,Heritage,ACHE2020,0,False
我 係 護士,我係護士.,C3,Cantonese,HE,Heritage,ACHE2020,0,False
大約 十一 歲 到,大約十一歲到.,C4,Cantonese,HE,Heritage,ACHE2020,0,False
嚟 到 美國 啱啱 就嚟 讀 六 年班 呀 即係 讀 完 囖 即係 跟住 再 升 七 年班 噉囉,"嚟到(美國)啱啱就嚟:: .. 讀六年班呀, (即係), 讀完(囖, 即係), 跟住再升七年班噉囉.",C20,Cantonese,HE,Heritage,ACHE2020,0,False
爸爸 喺 大陸 出世 嘅,"爸爸喺:: 大陸出世嘅,",C5,Cantonese,HE,Heritage,ACHE2020,0,False
噉 佢 就 嗰陣時候 我 諗 佢 五幾年 嗰陣時 偷渡 去 即係 佢 自己 好 細個嗰陣時 偷渡 去 唔係 佢 呢 即係 有人 帶 佢 偷渡 去 香港 噉樣 嘅,"噉佢就嗰陣時候我諗佢.. 五幾年嗰陣時偷渡去-- 即係佢自己好細個嗰陣時偷渡去-- 唔係佢呢, 即係有人帶佢偷渡去, 香港噉樣嘅.",C30,Cantonese,HE,Heritage,ACHE2020,0,False
噉 媽咪 就 喺 香港 出世 嘅,噉媽咪就喺香港出世嘅.,C7,Cantonese,HE,Heritage,ACHE2020,0,False
但 爺爺 就 唔知 因為 我 阿爸 都 無 見過 我 阿爺,"但爺爺就唔知, 因為我阿爸都無見過我阿爺.",C12,Cantonese,HE,Heritage,ACHE2020,0,False
噉 所以 就 唔知 佢哋 嗰邊 但 我 公公婆婆 都 喺 香港 出世 嘅,噉所以就唔知佢哋嗰邊但我公公婆婆都喺香港出世嘅.,C14,Cantonese,HE,Heritage,ACHE2020,0,False
無 得 我 一個,"無, 得我一個.",C4,Cantonese,HE,Heritage,ACHE2020,0,False
喺 香港 定 喺 呢度 呀,喺香港定喺呢度呀?,C6,Cantonese,HE,Heritage,ACHE2020,0,False
香港 我 都 係 住 一個 咋喎 由細到大 都 係 喺 大角咀 囉,"香港我都係住一個咋喎, 由細到大都係喺大角咀囉,",C13,Cantonese,HE,Heritage,ACHE2020,0,False
跟住 返 返嚟 我 都 喺 度 即係 都 喺度 即係 買 咗 間屋 噉樣樣 囉,"(跟住)返返嚟我都喺::度-- 即係都喺度, 即係買咗間屋噉樣樣囉.",C16,Cantonese,HE,Heritage,ACHE2020,0,False
都 係 香港,都係... 香港.,C3,Cantonese,HE,Heritage,ACHE2020,0,False
有 天主教,"有, 天主教.",C2,Cantonese,HE,Heritage,ACHE2020,0,False
都 有,都有.,C2,Cantonese,HE,Heritage,ACHE2020,0,False
我 爸爸 媽媽 都 有,我爸爸媽媽都有.,C5,Cantonese,HE,Heritage,ACHE2020,0,False
又 唔係 話 真係 囉 我 覺得,"又唔係話真係囉, 我覺得.",C7,Cantonese,HE,Heritage,ACHE2020,0,False
以前 細個 會 可能 會 多 啲 嘅 因為 我 始終 喺 香港 讀 天主教 小學 吖嘛,"以前細個會可能會多啲嘅, 因為我始終喺香港讀天主教小學吖嘛.",C17,Cantonese,HE,Heritage,ACHE2020,0,False
係 啊,(係啊.),C2,Cantonese,HE,Heritage,ACHE2020,1,True
住 喺 美國 嘅 香港人,住喺美國嘅香港人?,C5,Cantonese,HE,Heritage,ACHE2020,0,False
可 唔 可 唔 可以 呢個 答案,可唔-- 可唔可以呢個答案?,C7,Cantonese,HE,Heritage,ACHE2020,2,True
可以 好 難講 啊 其實 一半 一半 囉 我 真係 想 講,"可以.. 好難講啊, 其實一半一半囉, 我真係想講.",C12,Cantonese,HE,Heritage,ACHE2020,1,True
都 可以 嘅,都可以嘅.,C3,Cantonese,HE,Heritage,ACHE2020,0,False
一樣 噉 重要 囉 我 覺得,"一樣噉重要囉, 我覺得.",C6,Cantonese,HE,Heritage,ACHE2020,0,False
所以 我 覺得 係 一半 一半 呢個,"所以我覺得係一半一半, (呢個).",C7,Cantonese,HE,Heritage,ACHE2020,0,False
可能 你 十年 之後 問 我 又 唔知,可能你十年之後問我又唔知.,C8,Cantonese,HE,Heritage,ACHE2020,0,False
又 可能 咗 都 未定 因為 講真 我 都 無 好耐 都 無 返 過去 香港,"又可能(x)咗都未定, 因為講真我都無好耐都無.. 返過去.. 香港.",C16,Cantonese,HE,Heritage,ACHE2020,0,False
噉 所以 變 咗 我 而家 喺 呢 邊 呢 識 嘅 香港 朋友 係 少 咗 好多,"噉所以變咗我而家喺呢邊呢, 識嘅香港朋友係少咗好多.",C18,Cantonese,HE,Heritage,ACHE2020,0,False
大部分 嘅 朋友 都 係 呢度 嘅 人嚟 嘅,大部分嘅朋友都係呢度嘅人嚟嘅.,C9,Cantonese,HE,Heritage,ACHE2020,0,False
噉有 啲 當然 有 識講 廣東話 呢個 唔 識 啊 噉樣 囉,"噉有啲當然有識講廣東話, (呢個)唔識啊,噉樣囉.",C12,Cantonese,HE,Heritage,ACHE2020,2,True
真正 呀 我 諗 我 唔 算 係 真正 一個 香港人 啦 我 而家,真正呀?,C14,Cantonese,HE,Heritage,ACHE2020,1,True
真正 呀 我 諗 我 唔 算 係 真正 一個 香港人 啦 我 而家,"我諗我唔算係真正一個香港人啦我而家,",C14,Cantonese,HE,Heritage,ACHE2020,1,True
差唔多 係 係 土生土長 呀 係 喺 嗰度 即係 落地生根 囉 我 覺得 係,差唔多係係土生土長呀係喺嗰度.. 即係落地生根囉我覺得係.,C14,Cantonese,HE,Heritage,ACHE2020,0,False
即係 喺 嗰度 係 出 細 呀 喺 嗰度 成長 呀 喺 嗰度 搵嘢做 呀 噉樣 囉,"即係喺嗰度係:: 出細呀, 喺嗰度成長呀, 喺嗰度搵嘢做呀, 噉樣囉.",C17,Cantonese,HE,Heritage,ACHE2020,0,False
我 覺得 係,我覺得係.,C3,Cantonese,HE,Heritage,ACHE2020,0,False
其實 我 係 我 係 應該 講 我 自己 係 中國人 嘅 但係,"其實我係, 我係應該講我自己係中國人嘅, 但係..",C13,Cantonese,HE,Heritage,ACHE2020,0,False
血 源 嚟講 係 一定 係 中國人 囉 即 香港人 你 係 中國人 嚟 嘅 只不過 唔 承認 噉解 咋嘛,"即香港人你係中國人嚟嘅, 只不過.. 唔承認噉解咋嘛.",C20,Cantonese,HE,Heritage,ACHE2020,1,True
係 一個 種族 嚟 嘅,係一個種族嚟嘅.,C5,Cantonese,HE,Heritage,ACHE2020,0,False
真 嘅 美國人,真嘅美國人.,C3,Cantonese,HE,Heritage,ACHE2020,0,False
因為 我 覺得 係 一個 移民 社會 囉,"因為我覺得係(xx)一個移民社會囉,",C8,Cantonese,HE,Heritage,ACHE2020,0,False
佢哋 對 中國文化 即 對 香港 文化 喇 佢哋 未必 會 噉 清楚 囉 佢哋 會 知,"佢哋對中國文化, 即對香港文化喇, 佢哋未必會噉清楚囉.",C17,Cantonese,HE,Heritage,ACHE2020,0,False
出街食 嘢 囉,出街食嘢囉.,C3,Cantonese,HE,Heritage,ACHE2020,0,False
係 囉,係囉.,C2,Cantonese,HE,Heritage,ACHE2020,0,False
即 唔 想 比 人 其他人 聽到 講 即可 能 講 人 壞話 噉 唔 想 比 人 講 聽到 噉 佢 就 講 咗 一 兩 一句 起 兩句 止 嘅 廣東話 噉樣 係 啦,"(即)唔想比人-- 其他人聽到.. 講, 即可能講人壞話, 噉唔想比人講-- 聽到, 噉佢就講咗一兩-- 一句起, 兩句止嘅廣東話噉樣, 係啦.",C36,Cantonese,HE,Heritage,ACHE2020,2,True
但係 都 唔係 好多時候 係 囉,"但係都唔係好多時候, 係囉.",C6,Cantonese,HE,Heritage,ACHE2020,0,False
即 有時 我 都 唔知 嗰 啲 字 點樣 講,即有時我都唔知(嗰)啲字點樣講.,C10,Cantonese,HE,Heritage,ACHE2020,0,False
噉 講 英文 會 唔會 夾 啲 中文字 應該 就 無 啦,"(噉)講英文會唔會夾啲中文字, 應該就無啦.",C12,Cantonese,HE,Heritage,ACHE2020,0,False
邊 一啲 人,邊一啲人?,C3,Cantonese,HE,Heritage,ACHE2020,0,False
即 你 只係 中英 夾雜 定係 全中 文 即係 全中 跟住 全 英 噉樣 呀,"即你只係中英夾雜定係全中文, 即係全中跟住全英噉樣呀?",C15,Cantonese,HE,Heritage,ACHE2020,0,False
因為 我 就 好 少 會 做到 話 無端端 即 講講 吓 中文 跟住 轉 咗 去 做 英文 嘅,"因為我就好少會做到話無端端即講講吓中文, 跟住轉咗去做英文嘅. ",C20,Cantonese,HE,Heritage,ACHE2020,0,False
即 即 佢 都 會 聽 即 都 會 明 我 講咩 即可 能 因為 香港 都 好 中英 夾雜 噉有 少少 係,"即-- 即, 佢都會聽-- (即)都會明我講咩-- 即可能因為香港(都好x)中英夾雜噉有少少係.",C23,Cantonese,HE,Heritage,ACHE2020,0,False
中英 夾雜 係 有 嘅 但係 中 無端端 又 講 咗 英 或者 由 英 轉 中 就 唔會 有 呢 樣嘢 囉,"但係.. 中無端端又講咗英, 或者由英轉中就唔會有呢樣嘢囉.",C23,Cantonese,HE,Heritage,ACHE2020,0,False
英文 定 中文,英文定中文?,C3,Cantonese,HE,Heritage,ACHE2026,0,False
係 可以,"xx, 係可以.",C2,Cantonese,HE,Heritage,ACHE2026,0,False
我 而家 讀緊 書,我而家讀緊:: 書.,C4,Cantonese,HE,Heritage,ACHE2026,0,False
就 零 七 年 嗰時 陣 囉,就零七年嗰時陣囉.,C7,Cantonese,HE,Heritage,ACHE2026,0,False
係 啫 係 我哋 我 喺度 出世 但係 之後 就 返 咗 去 香港 讀書 啫 係 我 啲 再 一齊 返嚟,"係啫係我哋-- 我喺度出世但係.. 之後就, 返咗去香港讀書:: , 啫係我啲再一齊返嚟.",C22,Cantonese,HE,Heritage,ACHE2026,0,False
零 七 年 係,零七年. 係.,C4,Cantonese,HE,Heritage,ACHE2026,0,False
係 呀,係呀.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
差唔多 都 係 啤啤 倒 啦 一 歲 倒 一 歲 倒 啦 定 唔知 一 歲 都 無,"差唔多都係啤啤(到(啦, 一歲都-- 一歲到啦,",C19,Cantonese,HE,Heritage,ACHE2026,0,False
一 歲 倒 啦 定 唔知 一 歲 都 無 係 之後 就 返去 香港,"定唔知一歲都無. 係. 之後就, 返去香港.",C15,Cantonese,HE,Heritage,ACHE2026,0,False
之後 就,之後就-- ,C2,Cantonese,HE,Heritage,ACHE2026,0,False
過嚟 就 七 八 歲 啫 係 過嚟 就讀 二年級 囉,"過嚟就:: .. 七八歲, 啫係, 過嚟就讀二年級囉.",C11,Cantonese,HE,Heritage,ACHE2026,0,False
七 八 歲 囉,七八歲(囉).,C4,Cantonese,HE,Heritage,ACHE2026,0,False
係 嘞,係嘞.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
係 香港 出世,係香港出世.,C3,Cantonese,HE,Heritage,ACHE2026,0,False
應該 喺 大陸 㗎 囉,應該喺... 大陸.. 㗎囉.,C5,Cantonese,HE,Heritage,ACHE2026,0,False
有 家姐,有家姐.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
佢 而家 住 喺 屋企,佢而家住喺屋企.,C5,Cantonese,HE,Heritage,ACHE2026,0,False
係 呀,係呀.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
係 啦,係啦.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
無 啫 係 都 如果 一個 月 以上 通常 都 係 暑假 囉 但係 係 囉,"啫係都-- 如果一個月以上通常都係暑假囉, 但係-- 係囉.",C16,Cantonese,HE,Heritage,ACHE2026,0,False
都 多 嘅 啫 係 好似 如果 疫情 前 就 會 一年 起碼 返 兩 次 香港 嘅,"都:: 多嘅, 啫係好似如果疫情前就會.. 一年起碼返兩次香港嘅.",C18,Cantonese,HE,Heritage,ACHE2026,0,False
係 呀 係 呀,"係呀, 係呀.",C4,Cantonese,HE,Heritage,ACHE2026,0,False
或者 長 啲 係 啦,"或者長啲, (係啦).",C5,Cantonese,HE,Heritage,ACHE2026,0,False
係 啦,係啦.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
天主教 嘅,天主教(嘅).,C2,Cantonese,HE,Heritage,ACHE2026,0,False
都 算,都算.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
係 囉 爹 哋 媽咪 都 算 幾 天主教 嘅 佢哋 都,"係囉, 爹哋媽咪都算幾:: .. 天主教嘅, (佢哋都).",C12,Cantonese,HE,Heritage,ACHE2026,0,False
都 係 嘅,都:: 係嘅.,C3,Cantonese,HE,Heritage,ACHE2026,0,False
香 啫 係 睇 吓 喺 邊度 我 諗 睇 吓 喺 邊度 問 係 啦,"香--  啫係-- 睇吓喺邊度::-- 我(諗睇吓)喺邊度問, (係啦).",C16,Cantonese,HE,Heritage,ACHE2026,0,False
啫 係 如果 喺 香港 嘅話 我 覺得 係 香港 美國人 但係 如果 人地 問 我 如果 喺 啫 係 呢度 問 我 你 邊度 嚟 我 會 就噉 講 香港 囉 啫 係,"啫係如果喺香港嘅話我覺得..-- 係香港美國人但係.. 如果人地問我, 如果喺.. 啫係呢度問我, 你邊度嚟, 我會就噉講香港囉, 啫係.",C34,Cantonese,HE,Heritage,ACHE2026,0,False
覺得 兩 個 都 一樣 噉 重要,覺得兩個都:: 一樣噉重要.,C7,Cantonese,HE,Heritage,ACHE2026,0,False
但係 我 都 會 幾 啫 係 對 香港 嘅 嘢 都 幾 關心 或者 佢 嘅 歌 啊 或者 嘅 成 我 都 會 繼續 聽 噉囉,但係我都會... 幾-- .. 啫係對香港嘅嘢都幾.. 關心或者佢.. 嘅.. 歌啊或者.. 嘅(成)我都會繼續聽噉囉.,C28,Cantonese,HE,Heritage,ACHE2026,1,True
所以 係 兩邊 都 會 有 對 我 有影響 所以 我 覺得 兩邊 都 一樣 噉 重要,"(所以)係兩邊都會有, 對我有影響, (所以)我覺得兩邊都.. 一樣噉重要.",C17,Cantonese,HE,Heritage,ACHE2026,0,False
都 有,都有.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
十 係 啦,"十, 係啦.",C3,Cantonese,HE,Heritage,ACHE2026,0,False
係 嘞,係嘞.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
大 概 係噉 啦,大:: 概係噉啦.,C4,Cantonese,HE,Heritage,ACHE2026,0,False
係 啦 啫 係 總之 同 香港 有啲 聯繫 噉,"係啦啫係, 總之同香港有啲.. 聯繫噉.",C10,Cantonese,HE,Heritage,ACHE2026,0,False
或者 香港 出世 或者 係 係 啦,"或者香港出世, 或者係, 係啦.",C7,Cantonese,HE,Heritage,ACHE2026,0,False
哦 都 要 嘅,"哦, 都要嘅.",C4,Cantonese,HE,Heritage,ACHE2026,1,True
都 唔 一定 嘅 噉 香港 有 好多 白人 都 算 係 香港人 但係 唔 唔 識講 廣東話 噉 但係 佢 啲 都 係 算 係 香港 出世,"都唔一定嘅, 噉香港(有)好多:: ... 白人都.. 算係香港人但係.. 唔-- 唔識講廣東話, 噉但係佢啲都係.. 算係香港出世.",C28,Cantonese,HE,Heritage,ACHE2026,3,True
係 喇 但係 識講 廣東話 都 係 一個 大 嘅,係喇.,C10,Cantonese,HE,Heritage,ACHE2026,0,False
一個 真正 嘅 中國人,一個真正嘅中國人.,C4,Cantonese,HE,Heritage,ACHE2026,0,False
我 覺得 又 唔使 嘅,我覺得又唔使嘅.,C5,Cantonese,HE,Heritage,ACHE2026,0,False
噉 你 識講 啫 係 識講 普通話 或者 都 唔 一定 係 中國人 嘅,"噉你, 識講.. 啫係識講普通話或者-- 都唔一定係.. 中國人嘅.",C14,Cantonese,HE,Heritage,ACHE2026,1,True
都 係 我 覺得 都 係 文化 啦,"都係, 我覺得都係, 文化啦.",C8,Cantonese,HE,Heritage,ACHE2026,0,False
美國人 我 覺得 無 一個 特別 嘅 語言 或者 一個 種族 囉 啫 係 我 真係 唔知 喎 一個 美國人,"美國人我覺得無一個, 特別嘅:: .. 語言或者一個.. 種族囉.",C20,Cantonese,HE,Heritage,ACHE2026,0,False
美國人 我 覺得 無 一個 特別 嘅 語言 或者 一個 種族 囉 啫 係 我 真係 唔知 喎 一個 美國人,啫係... 我真係唔知喎一個美國人.,C20,Cantonese,HE,Heritage,ACHE2026,0,False
係 啦,係啦.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
係 啦 都 係,"係啦都係:: ,",C4,Cantonese,HE,Heritage,ACHE2026,0,False
我 真 係唔係 幾 知,(我真)係唔係幾知.,C5,Cantonese,HE,Heritage,ACHE2026,0,False
噉 睇 吓 佢 首先 睇 吓 佢 睇 佢 爹地 媽咪 有無 同 佢 既有 無 教 佢 或者,"噉睇吓佢::-- ... 首先睇吓佢-- .. 睇.. 佢爹地媽咪有無... 同佢, 既有無教佢, 或者:: ...",C20,Cantonese,HE,Heritage,ACHE2026,0,False
噉 係 囉,噉係囉.,C3,Cantonese,HE,Heritage,ACHE2026,0,False
但係 如果 你 啫 係 好似 我 個,但係如果你::--,C8,Cantonese,HE,Heritage,ACHE2026,0,False
係 啦,(係啦.),C2,Cantonese,HE,Heritage,ACHE2026,0,False
如果 英文 就係 同 啲 唔 識講 廣東話 嘅 人,如果.. 英文就係... 同.. 啲唔識講廣東話嘅人.,C10,Cantonese,HE,Heritage,ACHE2026,1,True
呢 樣 通常 都 會 係 同 我 家姐 講 野 嗰陣時,(呢樣)通常都會係同我家姐講野嗰陣時.,C12,Cantonese,HE,Heritage,ACHE2026,0,False
係 呀,係呀.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
就 會 係噉 撈 英文 同 廣東話,"就會.. 係噉, 撈:: (x), 英文同廣東話.",C7,Cantonese,HE,Heritage,ACHE2026,0,False
係 啊,係啊.,C2,Cantonese,HE,Heritage,ACHE2026,1,True
或者 有 一 忽 係 講 用 英文 講 一 忽 用 廣東話 啫 係 睇 吓 邊個 可以 講 的 順 啲 啫 係 可以 表達 到 嗰個,"或者.. 有一(忽)係講用英文講一(忽)用廣東話, 啫係.. 睇吓邊個.. 可以講的順啲啫係.. 可以表達到嗰個--",C29,Cantonese,HE,Heritage,ACHE2026,0,False
又試 過 囉,又試過囉.,C3,Cantonese,HE,Heritage,ACHE2026,0,False
係 啦 啫 係噉,係啦啫係噉.,C4,Cantonese,HE,Heritage,ACHE2026,0,False
啫 係 會 講 如果 夾埋 邊樣 會 講 的 多 啲,"啫係會講, 如果夾埋邊樣會講的多啲?",C12,Cantonese,HE,Heritage,ACHE2026,0,False
都 係 都 我 家姐 就係 通常,"都係-- 都我家姐(就係), 通常.",C7,Cantonese,HE,Heritage,ACHE2026,0,False
唔 唔會 嘅,唔-- 唔會嘅.,C3,Cantonese,HE,Heritage,ACHE2026,1,True
都 唔會 嘅,都唔會嘅.,C3,Cantonese,HE,Heritage,ACHE2026,0,False
係 啊,係啊.,C2,Cantonese,HE,Heritage,ACHE2026,1,True
因為 有時 有啲 字 係 英文 或者 廣東話 係 表達 唔 到 或者 突然間 諗 唔 到 就 會 用 第個 語言 講 囉,因為有時有啲.. 字係:: ... 英文或者廣東話係.. 表達唔到或者.. 突然間諗唔到就會.. 用第個語言講囉.,C24,Cantonese,HE,Heritage,ACHE2026,2,True
又 唔係 完全 一樣 嘅 可能 廣東話 會,"又唔係完全一樣嘅, 可能.. 廣東話會--",C8,Cantonese,HE,Heritage,ACHE2026,0,False
轉 啫 係 我 如果 覺得 係 真係 諗 唔 到 嘅 就 我 覺得 無問題 啦 啫 係 有時 係 有啲 字 啫 係 諗 唔 清楚 噉 就要 轉 噉 繼續 講 但係 如果 係 啦,"轉-- 啫係, 我如果覺得, 係:: ... 真係.. 諗唔到嘅, 就, 我覺得無問題啦, 啫係有時.. 係:: 有啲字啫係諗唔清楚噉就要.. 轉, 噉, 繼續講. ",C38,Cantonese,HE,Heritage,ACHE2026,2,True
但係 如果 係 啦 啫 盡量 講 同一 個 同一 個,但係如果-- ... 係啦.,C11,Cantonese,HE,Heritage,ACHE2026,0,False
係 啦,係啦.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
如果 夾硬 係 啦 啫 係 通常 都 係 啦,"如果夾硬::--  係啦啫係-- 通常都, 係啦.",C10,Cantonese,HE,Heritage,ACHE2026,0,False
我 無,我無-- ,C2,Cantonese,HE,Heritage,ACHE2026,0,False
無 乜 特別 原因 轉 啫 係 好似 有時 我 諗 一 諗 停 一 停 都 要 諗 吓 個 講返 中文 啫 我 都 唔 識 點講 轉 返 英文 噉囉,"無乜特別原因轉-- 啫係好似.. 有時我, 諗一諗:: 停一停都要諗吓, .. 個-- 講返:: 中文, 啫我都唔識點講.. 轉返英文噉囉.",C33,Cantonese,HE,Heritage,ACHE2026,1,True
係 啦,係啦.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
係 啦,係啦.,C2,Cantonese,HE,Heritage,ACHE2026,0,False
係 啦 啫 係 無 乜 特別 原因 就 唔使 轉 囉 除非 真係 有 個 字 或者 個 嗰個 嗰 句 嘢 係 講 講 唔 到 啫 係 嗰個 意思 係 唔 一樣 或者 係 係 啦,"係啦啫係無乜特別原因就唔使.. 轉囉, 除非, 真係有個字或者個::-- 嗰個-- 嗰句嘢係... 講-- 講唔到啫係.. 嗰個:: 意思係.. 唔一樣或者係-- 係啦.",C39,Cantonese,HE,Heritage,ACHE2026,2,True
我 喺 波士頓 出世,我喺波士頓出世.,C4,Cantonese,HE,Heritage,ACHE2032,0,False
我 係 做 我 幫 自閉症 大人 做嘢,我係:: 做::-- 我幫:: 自閉症:: 大人做嘢.,C8,Cantonese,HE,Heritage,ACHE2032,0,False
佢哋 個個 都 喺 台 山,佢哋個個都喺台山.,C6,Cantonese,HE,Heritage,ACHE2032,0,False
無 住 過 不過 有 返去 玩,"無住過, 不過有返去玩.",C7,Cantonese,HE,Heritage,ACHE2032,0,False
啫 係 我 我 做工 嗰度,啫係我-- 我做工嗰度?,C6,Cantonese,HE,Heritage,ACHE2032,0,False
都 可以,都可以.,C2,Cantonese,HE,Heritage,ACHE2032,0,False
中英 呀 同 我 朋友 啦,"中英呀, 同我朋友啦.",C6,Cantonese,HE,Heritage,ACHE2032,0,False
講 廣東話 嗰啲 朋友 呢 出街 都 係 講 英文 大部分 噉 有時 想 練習 吓 噉 所以 噉 做 囉,噉:: 有時想練習吓噉所以噉做囉.,C21,Cantonese,HE,Heritage,ACHE2032,0,False
唔 一樣 噉 如果 我 講 廣東話 呢 有時 話啫 會 大聲 少少,噉如果我講廣東話呢有時話啫會大聲少少.,C13,Cantonese,HE,Heritage,ACHE2032,1,True
無 呀 我 覺得 幾 好玩 啊,"無呀, 我覺得幾好玩啊.",C7,Cantonese,HE,Heritage,ACHE2032,1,True
哦 你 可以 叫 我 得 𠺢 啦,哦你可以叫我 xx 得𠺢啦.,C8,Cantonese,HE,Heritage,ACHE2034,1,True
我 係 做緊 嘢,我係做緊嘢.,C4,Cantonese,HE,Heritage,ACHE2034,0,False
我 係 做 律師,我係做律師.,C4,Cantonese,HE,Heritage,ACHE2034,0,False
係 做 律師,"係,  做律師.",C3,Cantonese,HE,Heritage,ACHE2034,0,False
但係 佢 係 行船 嘅,但係佢係行(船)嘅.,C5,Cantonese,HE,Heritage,ACHE2034,0,False
我 媽 呢 佢 就係 廣州 人,"我媽呢,佢就係廣州人.",C7,Cantonese,HE,Heritage,ACHE2034,0,False
出世 囉,XX出世囉.,C2,Cantonese,HE,Heritage,ACHE2034,0,False
就係 神神哋 呀 我 個 電腦 係噉 不摟 我 個 電腦 係噉,(不過)我個電腦係噉.,C12,Cantonese,HE,Heritage,ACHE2034,0,False
唔好意思 唔好意思,"唔好意思, 唔好意思.",C2,Cantonese,HE,Heritage,ACHE2034,0,False
九 一年 呢 我 阿媽 係 佢 就係 從 廣州 過嚟 嘅 過嚟 美國,"九一年呢我阿媽係-- 佢就係從:: 廣州過嚟嘅, 過嚟美國.",C14,Cantonese,HE,Heritage,ACHE2034,0,False
第二 年 我 就 出世 囉,(第二年)我就出世囉.,C6,Cantonese,HE,Heritage,ACHE2034,0,False
係 係,"係, 係.",C2,Cantonese,HE,Heritage,ACHE2034,0,False
我 爸 呢 其實 佢 係 惠州 人,我爸呢其實佢係惠州人.,C8,Cantonese,HE,Heritage,ACHE2034,0,False
啫 係 都 知 啦 六 七十 六 七十 年 嗰時 後 呢 都 好 興 嘅,"啫係(都)知啦, 六七十-- 六七十年嗰時後呢都好興嘅.",C17,Cantonese,HE,Heritage,ACHE2034,0,False
噉 佢 就 嗰 都 嚟 美國,噉佢就:: 嗰都嚟美國.,C7,Cantonese,HE,Heritage,ACHE2034,0,False
我 阿爺 阿嫲 都 未 未見 過 啊 上次 返去 見過 係 佢哋 應該 都 係 喺 啫 係 我 阿爸 個 邊 係 客家人 啦 噉 佢哋 應該 都 係 惠州 嗰度 大 啦,我阿爺阿嫲都未-- 未見過啊.,C35,Cantonese,HE,Heritage,ACHE2034,1,True
我 阿爺 阿嫲 都 未 未見 過 啊 上次 返去 見過 係 佢哋 應該 都 係 喺 啫 係 我 阿爸 個 邊 係 客家人 啦 噉 佢哋 應該 都 係 惠州 嗰度 大 啦,上次返去(x過)--,C35,Cantonese,HE,Heritage,ACHE2034,1,True
上次 返去 見過 係 佢哋 應該 都 係 喺 啫 係 我 阿爸 個 邊 係 客家人 啦 噉 佢哋 應該 都 係 惠州 嗰度 大 啦,係..,C27,Cantonese,HE,Heritage,ACHE2034,0,False
上次 返去 見過 係 佢哋 應該 都 係 喺 啫 係 我 阿爸 個 邊 係 客家人 啦 噉 佢哋 應該 都 係 惠州 嗰度 大 啦,"佢哋應該都係喺:: 啫係我阿爸個邊係客家人啦, 噉佢哋應該都係.. 惠州嗰度大啦.",C27,Cantonese,HE,Heritage,ACHE2034,0,False
啫 係 個 時 唔係 話 乜嘢,啫係(個時XX唔係話)乜嘢.,C7,Cantonese,HE,Heritage,ACHE2034,0,False
佢 啫 係 咗 先 呀,"佢啫係... (XXX), (X)咗先呀.",C6,Cantonese,HE,Heritage,ACHE2034,0,False
