sentence,pattern,lang_type,pos_sequence,sequence_length,error
And then otherwise most of them are actually local they speak Cantonese,E12,English,CCONJ ADV ADV ADJ ADP PRON AUX ADV ADJ PRON VERB PROPN,12,False
Um so since I have two main offices,E8,English,INTJ ADV SCONJ PRON VERB NUM ADJ NOUN,8,False
So um in terms of the cultural management one my boss is Taiwanese Hong Kong,E15,English,ADV INTJ ADP NOUN ADP DET ADJ NOUN NOUN PRON NOUN AUX PROPN PROPN PROPN,15,False
So uh she married um a Hong Kong businessman but she is Taiwanese herself,E14,English,ADV INTJ PRON VERB INTJ DET PROPN PROPN NOUN CCONJ PRON AUX ADJ PRON,14,False
So uh she married um a Hong Kong businessman but she is Taiwanese herself,E14,English,ADV INTJ PRON VERB INTJ DET PROPN PROPN NOUN CCONJ PRON AUX ADJ PRON,14,False
Um and then I have two local Hong Kongers in the team,E12,English,INTJ CCONJ ADV PRON VERB NUM ADJ PROPN PROPN ADP DET NOUN,12,False
Um and then I have two local Hong Kongers in the team,E12,English,INTJ CCONJ ADV PRON VERB NUM ADJ PROPN PROPN ADP DET NOUN,12,False
And then in terms of the startup both of them are actually locals,E13,English,CCONJ ADV ADP NOUN ADP DET NOUN PRON ADP PRON AUX ADV NOUN,13,False
And then in terms of the startup both of them are actually locals,E13,English,CCONJ ADV ADP NOUN ADP DET NOUN PRON ADP PRON AUX ADV NOUN,13,False
And then em um for the partner that we will currently work with they are also local uh Hong Kong um social enterprises,E23,English,CCONJ ADV PRON INTJ ADP DET NOUN PRON PRON AUX ADV VERB ADP PRON AUX ADV ADJ INTJ PROPN PROPN INTJ ADJ NOUN,23,False
And then em um for the partner that we will currently work with they are also local uh Hong Kong um social enterprises,E23,English,CCONJ ADV PRON INTJ ADP DET NOUN PRON PRON AUX ADV VERB ADP PRON AUX ADV ADJ INTJ PROPN PROPN INTJ ADJ NOUN,23,False
But hopping back a little bit to the cultural management office um they do work with a lot of International artists,E21,English,CCONJ VERB ADP DET ADJ NOUN ADP DET ADJ NOUN NOUN INTJ PRON AUX VERB ADP DET NOUN ADP ADJ NOUN,21,False
So that project we meet people um across the world,E10,English,ADV DET NOUN PRON VERB NOUN INTJ ADP DET NOUN,10,False
This is a very hard question but I guess it's more um related to how you associate yourself as a Hong Konger,E22,English,PRON AUX DET ADV ADJ NOUN CCONJ PRON VERB PRON AUX ADV INTJ ADJ ADP SCONJ PRON VERB PRON ADP DET PROPN PROPN,23,False
This is a very hard question but I guess it's more um related to how you associate yourself as a Hong Konger,E22,English,PRON AUX DET ADV ADJ NOUN CCONJ PRON VERB PRON AUX ADV INTJ ADJ ADP SCONJ PRON VERB PRON ADP DET PROPN PROPN,23,False
This is a very hard question but I guess it's more um related to how you associate yourself as a Hong Konger So I guess it's more like value systems um for generation who are born and raised in Hong Kong,E41,English,PRON AUX DET ADV ADJ NOUN CCONJ PRON VERB PRON AUX ADV INTJ ADJ ADP SCONJ PRON VERB PRON ADP DET PROPN PROPN ADV PRON VERB PRON AUX ADV ADP NOUN NOUN INTJ ADP NOUN PRON AUX VERB CCONJ VERB ADP PROPN PROPN,43,False
So I guess it's more like value systems um for generation who are born and raised in Hong Kong,E19,English,ADV PRON VERB PRON AUX ADV ADP NOUN NOUN INTJ ADP NOUN PRON AUX VERB CCONJ VERB ADP PROPN PROPN,20,False
I I guess guess that's that's one one thing thing but but of of course course on on a a passport passport they they also also have have that that passport passport saying saying that that you're you're from from Hong Hong Kong Kong SAR SAR right right,E48,English,PRON PRON VERB VERB PRON AUX PRON AUX NUM NUM NOUN NOUN CCONJ CCONJ ADP ADP NOUN NOUN ADV ADP DET DET NOUN NOUN PRON PRON ADV ADV AUX VERB SCONJ DET NOUN NOUN NOUN VERB SCONJ SCONJ PRON AUX PRON AUX ADP ADP PROPN PROPN PROPN PROPN PROPN PROPN ADV ADV,52,False
So so um I guess it's it's it's quite diverse on how you try to define um what's gonna constitute of a Hong Konger,E24,English,ADV ADV INTJ PRON VERB PRON AUX PRON AUX PRON AUX ADV ADJ ADP SCONJ PRON VERB PART VERB INTJ PRON AUX VERB PART VERB ADP DET PROPN PROPN,29,False
So so um I guess it's it's it's quite diverse on how you try to define um what's gonna constitute of a Hong Konger,E24,English,ADV ADV INTJ PRON VERB PRON AUX PRON AUX PRON AUX ADV ADJ ADP SCONJ PRON VERB PART VERB INTJ PRON AUX VERB PART VERB ADP DET PROPN PROPN,29,False
So so um I guess it's it's it's quite diverse on how you try to define um what's gonna constitute of a Hong Konger,E24,English,ADV ADV INTJ PRON VERB PRON AUX PRON AUX PRON AUX ADV ADJ ADP SCONJ PRON VERB PART VERB INTJ PRON AUX VERB PART VERB ADP DET PROPN PROPN,29,False
So so um I guess it's it's it's quite diverse on how you try to define um what's gonna constitute of a Hong Konger,E24,English,ADV ADV INTJ PRON VERB PRON AUX PRON AUX PRON AUX ADV ADJ ADP SCONJ PRON VERB PART VERB INTJ PRON AUX VERB PART VERB ADP DET PROPN PROPN,29,False
So so um I guess it's it's it's quite diverse on how you try to define um what's gonna constitute of a Hong Konger,E24,English,ADV ADV INTJ PRON VERB PRON AUX PRON AUX PRON AUX ADV ADJ ADP SCONJ PRON VERB PART VERB INTJ PRON AUX VERB PART VERB ADP DET PROPN PROPN,29,False
So so um I guess it's it's it's quite diverse on how you try to define um what's gonna constitute of a Hong Konger,E24,English,ADV ADV INTJ PRON VERB PRON AUX PRON AUX PRON AUX ADV ADJ ADP SCONJ PRON VERB PART VERB INTJ PRON AUX VERB PART VERB ADP DET PROPN PROPN,29,False
Um but I guess em like if you compare people who migrated in a way they don't think they are they are locals yet right they still in their core a Hong Konger right so it's more on the value system,E41,English,INTJ CCONJ PRON VERB PRON INTJ SCONJ PRON VERB NOUN PRON VERB ADP DET NOUN PRON AUX PART VERB PRON AUX PRON AUX NOUN ADV INTJ PRON ADV ADP PRON NOUN DET PROPN PROPN INTJ ADV PRON AUX ADJ ADP DET NOUN NOUN,43,False
Um but I guess em like if you compare people who migrated in a way they don't think they are they are locals yet right they still in their core a Hong Konger right so it's more on the value system,E41,English,INTJ CCONJ PRON VERB PRON INTJ SCONJ PRON VERB NOUN PRON VERB ADP DET NOUN PRON AUX PART VERB PRON AUX PRON AUX NOUN ADV INTJ PRON ADV ADP PRON NOUN DET PROPN PROPN INTJ ADV PRON AUX ADJ ADP DET NOUN NOUN,43,False
Um whether they feel like they affiliate to their local culture so like you see Cantonese you know you speak the same foul language you know like if you you know things like that or you know like um I guess also on the same cultural artifacts,E47,English,INTJ SCONJ PRON VERB SCONJ PRON VERB ADP PRON ADJ NOUN ADV INTJ PRON VERB PROPN PRON VERB PRON VERB DET ADJ ADJ NOUN PRON VERB INTJ SCONJ PRON PRON VERB NOUN ADP PRON CCONJ PRON VERB INTJ INTJ PRON VERB ADV ADP DET ADJ ADJ NOUN,47,False
Um whether they feel like they affiliate to their local culture so like you see Cantonese you know you speak the same foul language you know like if you you know things like that or you know like um I guess also on the same cultural artifacts,E47,English,INTJ SCONJ PRON VERB SCONJ PRON VERB ADP PRON ADJ NOUN ADV INTJ PRON VERB PROPN PRON VERB PRON VERB DET ADJ ADJ NOUN PRON VERB INTJ SCONJ PRON PRON VERB NOUN ADP PRON CCONJ PRON VERB INTJ INTJ PRON VERB ADV ADP DET ADJ ADJ NOUN,47,False
Um whether they feel like they affiliate to their local culture so like you see Cantonese you know you speak the same foul language you know like if you you know things like that or you know like um I guess also on the same cultural artifacts,E47,English,INTJ SCONJ PRON VERB SCONJ PRON VERB ADP PRON ADJ NOUN ADV INTJ PRON VERB PROPN PRON VERB PRON VERB DET ADJ ADJ NOUN PRON VERB INTJ SCONJ PRON PRON VERB NOUN ADP PRON CCONJ PRON VERB INTJ INTJ PRON VERB ADV ADP DET ADJ ADJ NOUN,47,False
Um whether they feel like they affiliate to their local culture so like you see Cantonese you know you speak the same foul language you know like if you you know things like that or you know like um I guess also on the same cultural artifacts,E47,English,INTJ SCONJ PRON VERB SCONJ PRON VERB ADP PRON ADJ NOUN ADV INTJ PRON VERB PROPN PRON VERB PRON VERB DET ADJ ADJ NOUN PRON VERB INTJ SCONJ PRON PRON VERB NOUN ADP PRON CCONJ PRON VERB INTJ INTJ PRON VERB ADV ADP DET ADJ ADJ NOUN,47,False
Um whether they feel like they affiliate to their local culture so like you see Cantonese you know you speak the same foul language you know like if you you know things like that or you know like um I guess also on the same cultural artifacts,E47,English,INTJ SCONJ PRON VERB SCONJ PRON VERB ADP PRON ADJ NOUN ADV INTJ PRON VERB PROPN PRON VERB PRON VERB DET ADJ ADJ NOUN PRON VERB INTJ SCONJ PRON PRON VERB NOUN ADP PRON CCONJ PRON VERB INTJ INTJ PRON VERB ADV ADP DET ADJ ADJ NOUN,47,False
So like people like a lot of like,E8,English,ADV ADP NOUN ADP DET NOUN ADP INTJ,8,False
So like people like a lot of like 周星馳,E8-C1,Code-switched,ADV ADP NOUN ADP DET NOUN ADP INTJ X,9,False
or like 子華 神 you know things like that that people sort of I guess these figures,E2-C2-E13,Code-switched,CCONJ INTJ PROPN NOUN PRON VERB NOUN ADP PRON SCONJ NOUN ADV ADV PRON VERB DET NOUN,17,False
you know things like that that people sort of I guess these figures,E13,English,PRON VERB NOUN ADP PRON SCONJ NOUN ADV ADV PRON VERB DET NOUN,13,False
you know things like that that people sort of I guess these figures,E13,English,PRON VERB NOUN ADP PRON SCONJ NOUN ADV ADV PRON VERB DET NOUN,13,False
Em that sort of brings you back to the identity part I guess I'm not sure about whether flag works anymore but um yeah but I I tend to think it's more on the cultural artifact and the common language em that people speaks,E44,English,INTJ DET NOUN ADV VERB PRON ADV ADP DET NOUN NOUN PRON VERB PRON AUX PART ADJ ADP SCONJ NOUN NOUN ADV CCONJ INTJ INTJ CCONJ PRON PRON VERB PART VERB PRON AUX ADJ ADP DET ADJ NOUN CCONJ DET ADJ NOUN PRON SCONJ NOUN VERB,46,False
I guess I'm not sure about whether flag works anymore but um yeah but I I tend to think it's more on the cultural artifact and the common language em that people speaks,E33,English,PRON VERB PRON AUX PART ADJ ADP SCONJ NOUN NOUN ADV CCONJ INTJ INTJ CCONJ PRON PRON VERB PART VERB PRON AUX ADJ ADP DET ADJ NOUN CCONJ DET ADJ NOUN PRON SCONJ NOUN VERB,35,False
I guess I'm not sure about whether flag works anymore but um yeah but I I tend to think it's more on the cultural artifact and the common language em that people speaks,E33,English,PRON VERB PRON AUX PART ADJ ADP SCONJ NOUN NOUN ADV CCONJ INTJ INTJ CCONJ PRON PRON VERB PART VERB PRON AUX ADJ ADP DET ADJ NOUN CCONJ DET ADJ NOUN PRON SCONJ NOUN VERB,35,False
Em that tells you who you are em that is more important than what's on your passport,E17,English,INTJ PRON VERB PRON PRON PRON AUX PRON PRON AUX ADV ADJ ADP PRON AUX ADP PRON NOUN,18,False
Em that tells you who you are em that is more important than what's on your passport,E17,English,INTJ PRON VERB PRON PRON PRON AUX PRON PRON AUX ADV ADJ ADP PRON AUX ADP PRON NOUN,18,False
Em that tells you who you are em that is more important than what's on your passport,E17,English,INTJ PRON VERB PRON PRON PRON AUX PRON PRON AUX ADV ADJ ADP PRON AUX ADP PRON NOUN,18,False
Yeah in that sense,E4,English,INTJ ADP DET NOUN,4,False
Um so there are I guess um there are two factors if you whether you are living in Hong Kong I guess it's not a must,E26,English,INTJ ADV PRON VERB PRON VERB INTJ PRON VERB NUM NOUN SCONJ PRON SCONJ PRON AUX VERB ADP PROPN PROPN PRON VERB PRON AUX PART PRON AUX,27,False
Um so there are I guess um there are two factors if you whether you are living in Hong Kong I guess it's not a must,E26,English,INTJ ADV PRON VERB PRON VERB INTJ PRON VERB NUM NOUN SCONJ PRON SCONJ PRON AUX VERB ADP PROPN PROPN PRON VERB PRON AUX PART PRON AUX,27,False
Um so there are I guess um there are two factors if you whether you are living in Hong Kong I guess it's not a must,E26,English,INTJ ADV PRON VERB PRON VERB INTJ PRON VERB NUM NOUN SCONJ PRON SCONJ PRON AUX VERB ADP PROPN PROPN PRON VERB PRON AUX PART PRON AUX,27,False
But in some point you probably have lived in this in order you feel affiliated to it so I'm yeah,E20,English,CCONJ ADP DET NOUN PRON ADV AUX VERB ADP PRON ADP NOUN PRON VERB ADJ ADP PRON ADV PRON AUX INTJ,21,False
But in some point you probably have lived in this in order you feel affiliated to it so I'm yeah,E20,English,CCONJ ADP DET NOUN PRON ADV AUX VERB ADP PRON ADP NOUN PRON VERB ADJ ADP PRON ADV PRON AUX INTJ,21,False
But in some point you probably have lived in this in order you feel affiliated to it so I'm yeah,E20,English,CCONJ ADP DET NOUN PRON ADV AUX VERB ADP PRON ADP NOUN PRON VERB ADJ ADP PRON ADV PRON AUX INTJ,21,False
That's the first part what's the second part like you have a passport or something or or so,E18,English,PRON AUX DET ADJ NOUN PRON AUX DET ADJ NOUN SCONJ PRON VERB DET NOUN CCONJ PRON CCONJ CCONJ ADV,20,False
That's the first part what's the second part like you have a passport or something or or so,E18,English,PRON AUX DET ADJ NOUN PRON AUX DET ADJ NOUN SCONJ PRON VERB DET NOUN CCONJ PRON CCONJ CCONJ ADV,20,False
Ah um I guess in terms of born that's a no,E11,English,INTJ INTJ PRON VERB ADP NOUN ADP VERB PRON AUX DET NOUN,12,False
But I guess in some point probably have to live in there and one of the examples that have a Bangladesh friend um he he came to Hong Kong um for his uni and then he just like he always say that he really really like the city um you know in terms of the transportation in terms of the infrastructure um and then he converted his nationality,E68,English,CCONJ PRON VERB ADP DET NOUN ADV VERB PART VERB ADP ADV CCONJ NUM ADP DET NOUN PRON VERB DET PROPN NOUN INTJ PRON PRON VERB ADP PROPN PROPN INTJ ADP PRON NOUN CCONJ ADV PRON ADV INTJ PRON ADV VERB SCONJ PRON ADV ADV VERB DET NOUN INTJ PRON VERB ADP NOUN ADP DET NOUN ADP NOUN ADP DET NOUN INTJ CCONJ ADV PRON VERB PRON NOUN,68,False
But I guess in some point probably have to live in there and one of the examples that have a Bangladesh friend um he he came to Hong Kong um for his uni and then he just like he always say that he really really like the city um you know in terms of the transportation in terms of the infrastructure um and then he converted his nationality,E68,English,CCONJ PRON VERB ADP DET NOUN ADV VERB PART VERB ADP ADV CCONJ NUM ADP DET NOUN PRON VERB DET PROPN NOUN INTJ PRON PRON VERB ADP PROPN PROPN INTJ ADP PRON NOUN CCONJ ADV PRON ADV INTJ PRON ADV VERB SCONJ PRON ADV ADV VERB DET NOUN INTJ PRON VERB ADP NOUN ADP DET NOUN ADP NOUN ADP DET NOUN INTJ CCONJ ADV PRON VERB PRON NOUN,68,False
But I guess in some point probably have to live in there and one of the examples that have a Bangladesh friend um he he came to Hong Kong um for his uni and then he just like he always say that he really really like the city um you know in terms of the transportation in terms of the infrastructure um and then he converted his nationality,E68,English,CCONJ PRON VERB ADP DET NOUN ADV VERB PART VERB ADP ADV CCONJ NUM ADP DET NOUN PRON VERB DET PROPN NOUN INTJ PRON PRON VERB ADP PROPN PROPN INTJ ADP PRON NOUN CCONJ ADV PRON ADV INTJ PRON ADV VERB SCONJ PRON ADV ADV VERB DET NOUN INTJ PRON VERB ADP NOUN ADP DET NOUN ADP NOUN ADP DET NOUN INTJ CCONJ ADV PRON VERB PRON NOUN,68,False
But I guess in some point probably have to live in there and one of the examples that have a Bangladesh friend um he he came to Hong Kong um for his uni and then he just like he always say that he really really like the city um you know in terms of the transportation in terms of the infrastructure um and then he converted his nationality,E68,English,CCONJ PRON VERB ADP DET NOUN ADV VERB PART VERB ADP ADV CCONJ NUM ADP DET NOUN PRON VERB DET PROPN NOUN INTJ PRON PRON VERB ADP PROPN PROPN INTJ ADP PRON NOUN CCONJ ADV PRON ADV INTJ PRON ADV VERB SCONJ PRON ADV ADV VERB DET NOUN INTJ PRON VERB ADP NOUN ADP DET NOUN ADP NOUN ADP DET NOUN INTJ CCONJ ADV PRON VERB PRON NOUN,68,False
But I guess in some point probably have to live in there and one of the examples that have a Bangladesh friend um he he came to Hong Kong um for his uni and then he just like he always say that he really really like the city um you know in terms of the transportation in terms of the infrastructure um and then he converted his nationality,E68,English,CCONJ PRON VERB ADP DET NOUN ADV VERB PART VERB ADP ADV CCONJ NUM ADP DET NOUN PRON VERB DET PROPN NOUN INTJ PRON PRON VERB ADP PROPN PROPN INTJ ADP PRON NOUN CCONJ ADV PRON ADV INTJ PRON ADV VERB SCONJ PRON ADV ADV VERB DET NOUN INTJ PRON VERB ADP NOUN ADP DET NOUN ADP NOUN ADP DET NOUN INTJ CCONJ ADV PRON VERB PRON NOUN,68,False
But I guess in some point probably have to live in there and one of the examples that have a Bangladesh friend um he he came to Hong Kong um for his uni and then he just like he always say that he really really like the city um you know in terms of the transportation in terms of the infrastructure um and then he converted his nationality,E68,English,CCONJ PRON VERB ADP DET NOUN ADV VERB PART VERB ADP ADV CCONJ NUM ADP DET NOUN PRON VERB DET PROPN NOUN INTJ PRON PRON VERB ADP PROPN PROPN INTJ ADP PRON NOUN CCONJ ADV PRON ADV INTJ PRON ADV VERB SCONJ PRON ADV ADV VERB DET NOUN INTJ PRON VERB ADP NOUN ADP DET NOUN ADP NOUN ADP DET NOUN INTJ CCONJ ADV PRON VERB PRON NOUN,68,False
To Hong Kong so he already got his Hong Kong passport,E11,English,ADP PROPN PROPN SCONJ PRON ADV VERB PRON PROPN PROPN NOUN,11,False
But um I guess with his case is pretty I guess it's a good example,E15,English,CCONJ INTJ PRON VERB ADP PRON NOUN AUX ADJ PRON VERB PRON AUX DET ADJ NOUN,16,False
Is that you probably have to encounter on a certain part of your life and you're loving that city and you feel you know that city that em how do I say connect with you in a personal level so you really feel like that's your home,E47,English,AUX PRON PRON ADV VERB PART VERB ADP DET ADJ NOUN ADP PRON NOUN CCONJ PRON AUX VERB SCONJ NOUN CCONJ PRON VERB PRON VERB DET NOUN PRON PRON SCONJ AUX PRON VERB VERB ADP PRON ADP DET ADJ NOUN SCONJ PRON ADV VERB SCONJ PRON AUX PRON NOUN,49,False
Is that you probably have to encounter on a certain part of your life and you're loving that city and you feel you know that city that em how do I say connect with you in a personal level so you really feel like that's your home,E47,English,AUX PRON PRON ADV VERB PART VERB ADP DET ADJ NOUN ADP PRON NOUN CCONJ PRON AUX VERB SCONJ NOUN CCONJ PRON VERB PRON VERB DET NOUN PRON PRON SCONJ AUX PRON VERB VERB ADP PRON ADP DET ADJ NOUN SCONJ PRON ADV VERB SCONJ PRON AUX PRON NOUN,49,False
Is that you probably have to encounter on a certain part of your life and you're loving that city and you feel you know that city that em how do I say connect with you in a personal level so you really feel like that's your home,E47,English,AUX PRON PRON ADV VERB PART VERB ADP DET ADJ NOUN ADP PRON NOUN CCONJ PRON AUX VERB SCONJ NOUN CCONJ PRON VERB PRON VERB DET NOUN PRON PRON SCONJ AUX PRON VERB VERB ADP PRON ADP DET ADJ NOUN SCONJ PRON ADV VERB SCONJ PRON AUX PRON NOUN,49,False
Is that you probably have to encounter on a certain part of your life and you're loving that city and you feel you know that city that em how do I say connect with you in a personal level so you really feel like that's your home,E47,English,AUX PRON PRON ADV VERB PART VERB ADP DET ADJ NOUN ADP PRON NOUN CCONJ PRON AUX VERB SCONJ NOUN CCONJ PRON VERB PRON VERB DET NOUN PRON PRON SCONJ AUX PRON VERB VERB ADP PRON ADP DET ADJ NOUN SCONJ PRON ADV VERB SCONJ PRON AUX PRON NOUN,49,False
Is that you probably have to encounter on a certain part of your life and you're loving that city and you feel you know that city that em how do I say connect with you in a personal level so you really feel like that's your home,E47,English,AUX PRON PRON ADV VERB PART VERB ADP DET ADJ NOUN ADP PRON NOUN CCONJ PRON AUX VERB SCONJ NOUN CCONJ PRON VERB PRON VERB DET NOUN PRON PRON SCONJ AUX PRON VERB VERB ADP PRON ADP DET ADJ NOUN SCONJ PRON ADV VERB SCONJ PRON AUX PRON NOUN,49,False
And then you will say you're part of that community em but you need not to be born and raised uh like need to be like born in Hong Kong in order to be a Hong Konger,E37,English,CCONJ ADV PRON AUX VERB PRON AUX NOUN ADP DET NOUN PRON CCONJ PRON VERB PART PART AUX VERB CCONJ VERB INTJ INTJ NOUN PART AUX INTJ VERB ADP PROPN PROPN ADP NOUN PART AUX DET PROPN PROPN,38,False
And then you will say you're part of that community em but you need not to be born and raised uh like need to be like born in Hong Kong in order to be a Hong Konger,E37,English,CCONJ ADV PRON AUX VERB PRON AUX NOUN ADP DET NOUN PRON CCONJ PRON VERB PART PART AUX VERB CCONJ VERB INTJ INTJ NOUN PART AUX INTJ VERB ADP PROPN PROPN ADP NOUN PART AUX DET PROPN PROPN,38,False
Wow um if you are talking about on um like an identity level em I gues it's very different,E19,English,INTJ INTJ SCONJ PRON AUX VERB ADP ADP INTJ INTJ DET NOUN NOUN PRON PRON VERB PRON AUX ADV ADJ,20,False
Wow um if you are talking about on um like an identity level em I gues it's very different,E19,English,INTJ INTJ SCONJ PRON AUX VERB ADP ADP INTJ INTJ DET NOUN NOUN PRON PRON VERB PRON AUX ADV ADJ,20,False
Wow um if you are talking about on um like an identity level em I gues it's very different,E19,English,INTJ INTJ SCONJ PRON AUX VERB ADP ADP INTJ INTJ DET NOUN NOUN PRON PRON VERB PRON AUX ADV ADJ,20,False
Wow um if you are talking about on um like an identity level em I gues it's very different,E19,English,INTJ INTJ SCONJ PRON AUX VERB ADP ADP INTJ INTJ DET NOUN NOUN PRON PRON VERB PRON AUX ADV ADJ,20,False
So em well on the broader terms as long as you have an Asian skin em I guess typical Asian face and you can speak any of the Chinese languages or dialect um you can a bit you can already sort of classify as Chinese,E45,English,ADV PRON ADV ADP DET ADJ NOUN ADV ADV SCONJ PRON VERB DET ADJ NOUN PRON PRON VERB ADJ ADJ NOUN CCONJ PRON AUX VERB PRON ADP DET ADJ NOUN CCONJ VERB INTJ PRON AUX DET NOUN PRON AUX ADV ADV ADV VERB ADP PROPN,45,False
So em well on the broader terms as long as you have an Asian skin em I guess typical Asian face and you can speak any of the Chinese languages or dialect um you can a bit you can already sort of classify as Chinese,E45,English,ADV PRON ADV ADP DET ADJ NOUN ADV ADV SCONJ PRON VERB DET ADJ NOUN PRON PRON VERB ADJ ADJ NOUN CCONJ PRON AUX VERB PRON ADP DET ADJ NOUN CCONJ VERB INTJ PRON AUX DET NOUN PRON AUX ADV ADV ADV VERB ADP PROPN,45,False
So em well on the broader terms as long as you have an Asian skin em I guess typical Asian face and you can speak any of the Chinese languages or dialect um you can a bit you can already sort of classify as Chinese,E45,English,ADV PRON ADV ADP DET ADJ NOUN ADV ADV SCONJ PRON VERB DET ADJ NOUN PRON PRON VERB ADJ ADJ NOUN CCONJ PRON AUX VERB PRON ADP DET ADJ NOUN CCONJ VERB INTJ PRON AUX DET NOUN PRON AUX ADV ADV ADV VERB ADP PROPN,45,False
So em well on the broader terms as long as you have an Asian skin em I guess typical Asian face and you can speak any of the Chinese languages or dialect um you can a bit you can already sort of classify as Chinese,E45,English,ADV PRON ADV ADP DET ADJ NOUN ADV ADV SCONJ PRON VERB DET ADJ NOUN PRON PRON VERB ADJ ADJ NOUN CCONJ PRON AUX VERB PRON ADP DET ADJ NOUN CCONJ VERB INTJ PRON AUX DET NOUN PRON AUX ADV ADV ADV VERB ADP PROPN,45,False
So em well on the broader terms as long as you have an Asian skin em I guess typical Asian face and you can speak any of the Chinese languages or dialect um you can a bit you can already sort of classify as Chinese,E45,English,ADV PRON ADV ADP DET ADJ NOUN ADV ADV SCONJ PRON VERB DET ADJ NOUN PRON PRON VERB ADJ ADJ NOUN CCONJ PRON AUX VERB PRON ADP DET ADJ NOUN CCONJ VERB INTJ PRON AUX DET NOUN PRON AUX ADV ADV ADV VERB ADP PROPN,45,False
So em well on the broader terms as long as you have an Asian skin em I guess typical Asian face and you can speak any of the Chinese languages or dialect um you can a bit you can already sort of classify as Chinese,E45,English,ADV PRON ADV ADP DET ADJ NOUN ADV ADV SCONJ PRON VERB DET ADJ NOUN PRON PRON VERB ADJ ADJ NOUN CCONJ PRON AUX VERB PRON ADP DET ADJ NOUN CCONJ VERB INTJ PRON AUX DET NOUN PRON AUX ADV ADV ADV VERB ADP PROPN,45,False
Um especially I guess Chinese character,E6,English,INTJ ADV PRON VERB ADJ NOUN,6,False
Um on that sense even Taiwanese in a way they're all still Chinese in that sense,E16,English,INTJ ADP DET NOUN ADV PROPN ADP DET NOUN PRON AUX ADV ADV ADJ ADP DET NOUN,17,False
Um on that sense even Taiwanese in a way they're all still Chinese in that sense,E16,English,INTJ ADP DET NOUN ADV PROPN ADP DET NOUN PRON AUX ADV ADV ADJ ADP DET NOUN,17,False
Um on that sense even Taiwanese in a way they're all still Chinese in that sense,E16,English,INTJ ADP DET NOUN ADV PROPN ADP DET NOUN PRON AUX ADV ADV ADJ ADP DET NOUN,17,False
Um so I guess for myself being Chinese more on the language system,E13,English,INTJ ADV PRON VERB ADP PRON AUX ADJ ADV ADP DET NOUN NOUN,13,False
Um or some part of the culture system,E8,English,INTJ CCONJ DET NOUN ADP DET NOUN NOUN,8,False
Um or some part of the culture system,E8,English,INTJ CCONJ DET NOUN ADP DET NOUN NOUN,8,False
Um or some part of the culture system,E8,English,INTJ CCONJ DET NOUN ADP DET NOUN NOUN,8,False
Um but I guess cause the previous question is on Hong Kong right so I guess the the sort of the division is more on the social and political end of things that sort of different em from being a Chinese,E41,English,INTJ CCONJ PRON VERB VERB DET ADJ NOUN AUX ADP PROPN PROPN ADV ADV PRON VERB DET DET NOUN ADP DET NOUN AUX ADJ ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PRON ADV ADV ADJ PRON ADP AUX DET PROPN,41,False
Um but I guess cause the previous question is on Hong Kong right so I guess the the sort of the division is more on the social and political end of things that sort of different em from being a Chinese,E41,English,INTJ CCONJ PRON VERB VERB DET ADJ NOUN AUX ADP PROPN PROPN ADV ADV PRON VERB DET DET NOUN ADP DET NOUN AUX ADJ ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PRON ADV ADV ADJ PRON ADP AUX DET PROPN,41,False
Um but I guess cause the previous question is on Hong Kong right so I guess the the sort of the division is more on the social and political end of things that sort of different em from being a Chinese,E41,English,INTJ CCONJ PRON VERB VERB DET ADJ NOUN AUX ADP PROPN PROPN ADV ADV PRON VERB DET DET NOUN ADP DET NOUN AUX ADJ ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PRON ADV ADV ADJ PRON ADP AUX DET PROPN,41,False
Um but I guess cause the previous question is on Hong Kong right so I guess the the sort of the division is more on the social and political end of things that sort of different em from being a Chinese,E41,English,INTJ CCONJ PRON VERB VERB DET ADJ NOUN AUX ADP PROPN PROPN ADV ADV PRON VERB DET DET NOUN ADP DET NOUN AUX ADJ ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PRON ADV ADV ADJ PRON ADP AUX DET PROPN,41,False
Um but I guess cause the previous question is on Hong Kong right so I guess the the sort of the division is more on the social and political end of things that sort of different em from being a Chinese,E41,English,INTJ CCONJ PRON VERB VERB DET ADJ NOUN AUX ADP PROPN PROPN ADV ADV PRON VERB DET DET NOUN ADP DET NOUN AUX ADJ ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PRON ADV ADV ADJ PRON ADP AUX DET PROPN,41,False
Um but I guess cause the previous question is on Hong Kong right so I guess the the sort of the division is more on the social and political end of things that sort of different em from being a Chinese,E41,English,INTJ CCONJ PRON VERB VERB DET ADJ NOUN AUX ADP PROPN PROPN ADV ADV PRON VERB DET DET NOUN ADP DET NOUN AUX ADJ ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PRON ADV ADV ADJ PRON ADP AUX DET PROPN,41,False
