original,cleaned,annotation_text_before,annotation_text_after
--,,"我 諗 住 過 係 會   有 分 別 嘅 ,   即 係 - -   但 係 又 唔 需 要 住 過 嘅 我 諗 .",我 諗住 過 係 會 有 分別 嘅 即係 但係 又 唔 需要 住 過 嘅 我 諗
--,,"好 認 真 嘅 嘢 ,   即 係 可 能 討 論 學 術 嘅 - -   嘅 時 候 會 夾 英 文 .",好認 真 嘅 嘢 即係 可能 討論 學術 嘅 嘅 時候 會 夾 英文
--,,用 - -   學 習 廣 東 話 噉 樣 .,用 學習 廣東話 噉樣
--,,我 諗 係 . .   喺 : : - -   我 諗 呢 一 個 情 況 係 喺 每 個 人 學 緊 一 個,我 諗 係 喺 我 諗 呢 一個 情況 係 喺 每個人 學 緊 一個
--,,"進 : : - -   即 係 用 英 文 嘅 ,   思 維 去 諗 ,   即 係",進 即係 用 英文 嘅 思維 去 諗 即係
--,,都 - -,都
--,,我 諗 佢 哋 應 該 係 : : - -   應 該 係,我 諗 佢哋 應該 係 應該 係
--,,噉 - -,噉
--,,"係 都 係 : :   因 為 廣 東 話 有 - -   佢 唔 係 一 個 好 嚴 謹 嘅 系 統 ,   或 者 佢 無 任 何",係 都 係 因為 廣東話 有 佢 唔係 一個 好 嚴謹 嘅 系統 或者 佢 無任 何
--,,覺 得 . . .   廣 東 話 : :   係 - -,覺得 廣東話 係
--,,香 港 都 唔 ( 例 外 ) - -   噉 所 以 無 所 謂 .,香港 都 唔 例外 噉 所以 無所謂
--,,"係 啦 , 啫 係 - -   係 啊 ,   就 係 ,   就 係 噉 樣 .",係 啦 啫 係 係 啊 就係 就係 噉樣
--,,我 諗 : : - -   . . .,我 諗
--,,"但 係 ,   佢 : : - -   因 為 佢 大 部 分 都 係 可 能 以 口 語 組 成 啦 ,   噉 所 以",但係 佢 因為 佢 大部分 都 係 可能 以 口語 組成 啦 噉 所以
--,,"如 果 : :   . . .   - -   如 果 對 住 一 個 ,",如果 如果 對 住 一個
--,,小 學 嘅 話 - -,小學 嘅話
--,,普 通 話 佢 哋 . .   識 少 少 但 係 唔 - -   唔 擅 長 - -   都 係 唔,普通話 佢哋 識 少少 但係 唔 唔 擅長 都 係 唔
--,,普 通 話 佢 哋 . .   識 少 少 但 係 唔 - -   唔 擅 長 - -   都 係 唔,普通話 佢哋 識 少少 但係 唔 唔 擅長 都 係 唔
--,,"我 - -   我 如 果 主 要 溝 通 嘅 話 ,   我 諗 我 都 會 用 廣 東 話 同 人 溝 通 .",我 我 如果 主要 溝通 嘅話 我 諗 我 都 會 用 廣東話 同人 溝通
--,,沒 去 到 好 - -   講 得 好,沒 去到 好 講得 好
--,,唔 : : - -   唔 : :   會 .,唔 唔 會
--,,我 覺 得 係 - -,我 覺得 係
--,,好 : :   . .   奇 怪 嘅 : : - -   因 為 香 - -,好 奇怪 嘅 因為 香
--,,好 : :   . .   奇 怪 嘅 : : - -   因 為 香 - -,好 奇怪 嘅 因為 香
--,,我 自 己 嗰 可 能 無 乜 留 意 呢 樣 嘢 但 係 可 能 - -,我 自己 嗰 可能 無 乜 留意 呢 樣嘢 但係 可能
--,,"佢 係 : : - -   佢 係 : :   睇 落 係 . .   歐 洲 人 ,   佢 係 睇 落 係 . .   亞 裔 - -",佢 係 佢 係 睇落 係 歐洲人 佢 係 睇落 係 亞裔
--,,"佢 係 : : - -   佢 係 : :   睇 落 係 . .   歐 洲 人 ,   佢 係 睇 落 係 . .   亞 裔 - -",佢 係 佢 係 睇落 係 歐洲人 佢 係 睇落 係 亞裔
--,,"係 嘞 噉 好 用 ,   好 - -   好 - -   好",係 嘞 噉 好用 好 好 好
--,,"係 嘞 噉 好 用 ,   好 - -   好 - -   好",係 嘞 噉 好用 好 好 好
--,,個 : : - -,個
--,,啫 係 - -   啫 係 佢 地 講 嗰 啲 例 - -   要 由 英 文 嘅 思 維 去 出 發 . .   噉 樣 樣 先 至 係 好 嘅 - -   好 嘅,啫 係 啫 係 佢 地 講 嗰啲 例 要 由 英文 嘅 思維 去 出發 噉樣樣 先至 係 好 嘅 好 嘅
--,,啫 係 - -   啫 係 佢 地 講 嗰 啲 例 - -   要 由 英 文 嘅 思 維 去 出 發 . .   噉 樣 樣 先 至 係 好 嘅 - -   好 嘅,啫 係 啫 係 佢 地 講 嗰啲 例 要 由 英文 嘅 思維 去 出發 噉樣樣 先至 係 好 嘅 好 嘅
--,,啫 係 - -   啫 係 佢 地 講 嗰 啲 例 - -   要 由 英 文 嘅 思 維 去 出 發 . .   噉 樣 樣 先 至 係 好 嘅 - -   好 嘅,啫 係 啫 係 佢 地 講 嗰啲 例 要 由 英文 嘅 思維 去 出發 噉樣樣 先至 係 好 嘅 好 嘅
--,,"有 啲 嘅 用 字 唔 - -   習 慣 咗 唔 係 好 : :   . .   聯 想 到 佢 嘅 中 文 嘅 用 法 啦 ,   佢 個 中 文 字 啦 .",有啲 嘅 用字 唔 習慣 咗 唔係 好 聯想 到 佢 嘅 中文 嘅 用法 啦 佢 個中 文字 啦
--,,"嘅 所 以 我 自 己 睇 返 自 己 ,   我 都 . .   覺 得 . . .   我 唔 會 - -   我 唔 - -   我 首 先 唔 會 刻 意 噉 樣 去 做 呢 樣 嘢 啦 ,   刻 意 噉 樣 加 啲 英 文 字 入 去 ,   要",嘅 所以 我 自己 睇返 自己 我 都 覺得 我 唔會 我 唔 我 首先 唔會 刻意 噉樣 去 做 呢 樣嘢 啦 刻意 噉樣 加 啲 英文 字 入去 要
--,,"嘅 所 以 我 自 己 睇 返 自 己 ,   我 都 . .   覺 得 . . .   我 唔 會 - -   我 唔 - -   我 首 先 唔 會 刻 意 噉 樣 去 做 呢 樣 嘢 啦 ,   刻 意 噉 樣 加 啲 英 文 字 入 去 ,   要",嘅 所以 我 自己 睇返 自己 我 都 覺得 我 唔會 我 唔 我 首先 唔會 刻意 噉樣 去 做 呢 樣嘢 啦 刻意 噉樣 加 啲 英文 字 入去 要
--,,我 唔 會 一 個 廣 - -,我 唔會 一個 廣
--,,"因 為 - -   因 為 有 一 個 日 常 - - 日 常 嘅 角 度 嚟 講 啦 ,",因為 因為 有 一個 日常 日常 嘅 角度 嚟講 啦
--,,"因 為 - -   因 為 有 一 個 日 常 - - 日 常 嘅 角 度 嚟 講 啦 ,",因為 因為 有 一個 日常 日常 嘅 角度 嚟講 啦
--,,"係 喇 ,   即 係 大 部 分 人 - -   我 相 信 大 部 分 人 佢 都 有 呢 啲 不 自 覺 嘅",係 喇 即係 大部分 人 我 相信 大部分 人 佢 都 有 呢啲 不自覺 嘅
--,,啊 ，   定 係 佢 係 一 個 - -   一 個,啊 定係 佢 係 一個 一個
--,,"之 前 有 朋 友 話 去 咗 大 阪 ,   早 兩 個 禮 拜 ,   佢 話 成 - -   成 條 心 齋 橋 都 係 廣 東 話 .",之前 有 朋友 話 去 咗 大阪 早 兩 個 禮拜 佢 話 成 成條 心 齋 橋 都 係 廣東話
--,,廣 - -   佢 哋 唔 識 英 文 嘅 .,廣 佢哋 唔 識 英文 嘅
--,,"如 果 係 香 港 用 港 式 啲 嘅 英 文 我 - -   我 覺 得 有 少 少 奇 - -   奇 怪 囉 ,   即 係 如 果 我 覺 得 佢 係 一 個 比 較 港 式 嘅 ,   佢 唔 係 真 係 好 地 道 嘅 . .",如果 係 香港 用 港式 啲 嘅 英文 我 我 覺得 有少少 奇 奇怪 囉 即係 如果 我 覺得 佢 係 一個 比較 港式 嘅 佢 唔係 真係 好 地道 嘅
--,,"如 果 係 香 港 用 港 式 啲 嘅 英 文 我 - -   我 覺 得 有 少 少 奇 - -   奇 怪 囉 ,   即 係 如 果 我 覺 得 佢 係 一 個 比 較 港 式 嘅 ,   佢 唔 係 真 係 好 地 道 嘅 . .",如果 係 香港 用 港式 啲 嘅 英文 我 我 覺得 有少少 奇 奇怪 囉 即係 如果 我 覺得 佢 係 一個 比較 港式 嘅 佢 唔係 真係 好 地道 嘅
--,,大 家 都 . .   接 受 同 埋 喺 - - . . .   要 覺 得 佢 係 一 個,大家 都 接受 同埋 喺 要 覺得 佢 係 一個
--,,"所 以 我 係 一 - -   一 個 : :   實 用 嘅 角 度 去 出 發 ,",所以 我 係 一 一個 實用 嘅 角度 去 出發
--,,"因 為 知 道 自 己 未 算 係 好 流 暢 ,   可 以 講 - -   表 達 到 一 啲 意 見 ,   係 嘞",因為 知道 自己 未算 係 好 流暢 可以 講 表達 到 一啲 意見 係 嘞
--,,因 為 : :   香 - -   因 為 好 似 . . .,因為 香 因為 好似
--,,"但 係 如 果 太 多 : :   ,   嘅 話 ,   又 或 者 係 一 啲 好 大 - -",但係 如果 太 多 嘅話 又 或者 係 一啲 好 大
--,,即 係 - -   即 係,即係 即係
--,,"或 者 有 時 另 一 個 係 - -   原 因 係 ,",或者 有時 另一個 係 原因 係
--,,啫 係 同 好 多 香 港 人 一 樣 我 都 - -   即 係 有 啲 一 字 就 會 - -   . . .   即 係 就 有 個 好 自 然 嘅,啫 係 同好 多 香港人 一樣 我 都 即係 有啲 一字 就 會 即係 就 有 個 好 自然 嘅
--,,啫 係 同 好 多 香 港 人 一 樣 我 都 - -   即 係 有 啲 一 字 就 會 - -   . . .   即 係 就 有 個 好 自 然 嘅,啫 係 同好 多 香港人 一樣 我 都 即係 有啲 一字 就 會 即係 就 有 個 好 自然 嘅
--,,個 : : - -,個
--,,啫 係 我 唔 - -   我 唔 知 佢 係 咪,啫 係 我 唔 我 唔知 佢 係咪
--,,啲 嘅 : : - -   . . .   嘅,啲 嘅 嘅
--,,"以 前 就 - -   以 前 : :   啲 老 師 就 話 我 : :   . . .   表 達 唔 係 噉 流 暢 啦 ,   係 嘞 .",以前 就 以前 啲 老師 就話 我 表達 唔係 噉 流暢 啦 係 嘞
--,,即 係 我 唔 - -   我 唔 係 好 鍾 意 去,即係 我 唔 我 唔係 好 鍾意 去
--,,"廣 東 嘅 地 方 嘅 文 化 都 係 - -   都 係 幾 - -   幾 特 別 嘅 一 個 - -   得 意 嘅 一 個 體 會 囉 ,   就 同 我 學 外 語 一 樣 .",廣東 嘅 地方 嘅 文化 都 係 都 係 幾 幾 特別 嘅 一個 得意 嘅 一個 體會 囉 就 同 我 學 外語 一樣
--,,"廣 東 嘅 地 方 嘅 文 化 都 係 - -   都 係 幾 - -   幾 特 別 嘅 一 個 - -   得 意 嘅 一 個 體 會 囉 ,   就 同 我 學 外 語 一 樣 .",廣東 嘅 地方 嘅 文化 都 係 都 係 幾 幾 特別 嘅 一個 得意 嘅 一個 體會 囉 就 同 我 學 外語 一樣
--,,"廣 東 嘅 地 方 嘅 文 化 都 係 - -   都 係 幾 - -   幾 特 別 嘅 一 個 - -   得 意 嘅 一 個 體 會 囉 ,   就 同 我 學 外 語 一 樣 .",廣東 嘅 地方 嘅 文化 都 係 都 係 幾 幾 特別 嘅 一個 得意 嘅 一個 體會 囉 就 同 我 學 外語 一樣
--,,一 啲 想 叫 - -   要,一啲 想 叫 要
--,,"譬 如 依 家 有 好 多 人 出 國 , 噉   佢 浸 入 到 - -   接 觸 到 外 國 嘅 英 文 多 啲 嘅 話 ,   噉 佢 應 該 係 ,",譬如 依家 有 好多 人 出國 噉 佢 浸入 到 接觸 到 外國 嘅 英文 多 啲 嘅話 噉 佢 應該 係
--,,"亦 都 : :   事 實 上 好 多 香 港 人 - -   包 括 我 自 己 都 可 能 ,   無 真 係 好 接 觸 到 一 啲 好 地 道 嘅 英 文 ,   又 或 者 未 必 有 出 過 國 去 旅 行 ,   或 者 有 去 - -   去",亦都 事實上 好多 香港人 包括 我 自己 都 可能 無 真係 好 接觸 到 一啲 好 地道 嘅 英文 又 或者 未必 有 出過 國 去 旅行 或者 有 去 去
--,,"亦 都 : :   事 實 上 好 多 香 港 人 - -   包 括 我 自 己 都 可 能 ,   無 真 係 好 接 觸 到 一 啲 好 地 道 嘅 英 文 ,   又 或 者 未 必 有 出 過 國 去 旅 行 ,   或 者 有 去 - -   去",亦都 事實上 好多 香港人 包括 我 自己 都 可能 無 真係 好 接觸 到 一啲 好 地道 嘅 英文 又 或者 未必 有 出過 國 去 旅行 或者 有 去 去
--,,我 覺 - -,我 覺
--,,入 邊 去 討 論 - -   同 人 討 論 . . .   或 者 發 表 自 己 嘅 想 法 .,入邊 去 討論 同人 討論 或者 發表 自己 嘅 想法
--,,"因 為 - -   因 為 中 國 有 噉 多 個 省 其 實 ,   每 個 省 嘅 風 土 人 情 都 唔 同 .",因為 因為 中國 有 噉 多個 省 其實 每個 省 嘅 風土人情 都 唔同
--,,個 : : - -,個
--,,可 能 講 - -   我 會 覺 得 講 廣 東 話 係 一 個 比 較,可能 講 我 會 覺得 講 廣東話 係 一個 比較
--,,唔 肯 - -,唔 肯
--,,"係 嘞 ,   噉 所 以 我 覺 得 ,   即 係 佢 哋 識 講 - -   佢 哋",係 嘞 噉 所以 我 覺得 即係 佢哋 識講 佢哋
--,,"喺 某 一 個 地 - -   省 ,   某 一 個 地 區 ,   佢 哋 未 必 熟 習 其 他 地 區 嘅 : :   文 化 ,   噉 樣 囉 .",喺 某 一個 地 省 某 一個 地區 佢哋 未必 熟習 其他 地區 嘅 文化 噉樣 囉
--,,"一 般 情 - -   如 果 佢 嘅 ,   轉 來 轉 去 ,   佢 . .   唔 係 太 多 嘅 ,   其 實 係 可 以 嘅 .",一般 情 如果 佢 嘅 轉來轉去 佢 唔係 太 多 嘅 其實 係 可以 嘅
--,,我 唔 會 用 - -,我 唔會 用
– –,,– –,
– –,,– –,
–,,–,
其 實 回 教 人 又 係 —,其實 回教 人 又 係,其 實 回 教 人 又 係 —,其實 回教 人 又 係
同 回 教 人 —,同 回教 人,同 回 教 人 —,同 回教 人
比 啊 —,比 啊,比 啊 —,比 啊
住 —,住,住 —,住
親 — 有 親 切 感 嘅 感 覺 係 好 有 親 切 感 係 呀,親 有 親切 感 嘅 感覺 係 好 有 親切 感 係 呀,親 — 有 親 切 感 嘅 感 覺 係 好 有 親 切 感 係 呀 .,親 有 親切 感 嘅 感覺 係 好 有 親切 感 係 呀
即 係 佢 哋 好 想 成 為 — 即 係 我 覺 得 佢 哋 都 幾 鍾 意 香 港 個 地,即係 佢哋 好 想 成為 即係 我 覺得 佢哋 都 幾 鍾意 香港 個 地,"即 係 佢 哋 好 想 成 為 — 即 係 我 覺 得 佢 哋 都 幾 鍾 意 香 港 個 地 方 但 係 佢 係 ,",即係 佢哋 好 想 成為 即係 我 覺得 佢哋 都 幾 鍾意 香港 個 地方 但係 佢 係
"如 果 講 中 — 講 到 中 國 嘅 話 可 能 就 講 度 要 ,",如果 講 中 講到 中國 嘅話 可能 就 講 度 要,"如 果 講 中 — 講 到 中 國 嘅 話 可 能 就 講 度 要 ,",如果 講 中 講到 中國 嘅話 可能 就 講 度 要
— 有 個,有 個,— 有 個,有 個
比 較 我 覺 — 我 覺 得 呢 個 嘢 其 實 又 幾 好 囉 所 以 就,比較 我 覺 我 覺得 呢個 嘢 其實 又 幾 好 囉 所以 就,"比 較 我 覺 — 我 覺 得 呢 個 嘢 其 實 又 幾 好 囉 所 以 就 兩 邊 都 都 ,",比較 我 覺 我 覺得 呢個 嘢 其實 又 幾 好 囉 所以 就 兩邊 都 都
"咁 或 者 呢 到 出 世 嘅 都 有 係 啦 . 咁 — ,",咁 或者 呢 到 出世 嘅 都 有 係 啦 咁,"咁 或 者 呢 到 出 世 嘅 都 有 係 啦 . 咁 — ,",咁 或者 呢 到 出世 嘅 都 有 係 啦 咁
"識 聽 少 少 啦 唔 係 好 — 唔 係 好 ,",識聽 少少 啦 唔係 好 唔係 好,"識 聽 少 少 啦 唔 係 好 — 唔 係 好 ,",識聽 少少 啦 唔係 好 唔係 好
兩 — 兩 個 呢 兩 個,兩 兩 個 呢 兩 個,兩 — 兩 個 呢 兩 個,兩 兩 個 呢 兩 個
"喺 — 喺 香 港 咁 㗎 唔 會 囉 ,",喺 喺 香港 咁 㗎 唔會 囉,"喺 — 喺 香 港 咁 㗎 唔 會 囉 ,",喺 喺 香港 咁 㗎 唔會 囉
"你 即 聽 落 一 聽 係 咪 廣 東 — 即 係 咪 香 港 人 廣 東 話 定 係 ,",你 即 聽落 一 聽 係咪 廣東 即係 咪 香港人 廣東話 定係,"你 即 聽 落 一 聽 係 咪 廣 東 — 即 係 咪 香 港 人 廣 東 話 定 係 ,",你 即 聽落 一 聽 係咪 廣東 即係 咪 香港人 廣東話 定係
"都 唔 係 佢 哋 — 起 碼 你 都 要 識 聽 即 都 係 會 ,",都 唔係 佢哋 起碼 你 都 要 識聽 即 都 係 會,"都 唔 係 佢 哋 — 起 碼 你 都 要 識 聽 即 都 係 會 ,",都 唔係 佢哋 起碼 你 都 要 識聽 即 都 係 會
都 幾 特 別 咁 其 實 我 都 幾 — 幾,都 幾 特別 咁 其實 我 都 幾 幾,都 幾 特 別 咁 其 實 我 都 幾 — 幾,都 幾 特別 咁 其實 我 都 幾 幾
"係 啦 就 冇 — 就 通 常 都 唔 會 話 ,",係 啦 就冇 就 通常 都 唔會 話,"係 啦 就 冇 — 就 通 常 都 唔 會 話 ,",係 啦 就冇 就 通常 都 唔會 話
"講 反 英 文 你 同 我 講 廣 東 話 我 同 你 講 — 講 反 廣 東 話 ,",講 反英 文 你 同 我 講 廣東話 我 同 你 講 講 反 廣東話,"即 係 我 同 你 都 識 講 英 文 廣 東 話 但 係 如 果 你 要 同 我 講 英 文 我 會 同 你 講 反 英 文 你 同 我 講 廣 東 話 我 同 你 講 — 講 反 廣 東 話 ,",即係 我 同 你 都 識講 英文 廣東話 但係 如果 你 要 同 我 講 英文 我 會同 你 講 反英 文 你 同 我 講 廣東話 我 同 你 講 講 反 廣東話
有 — 有 — 我 好 似,有 有 我 好似,有 — 有 — 我 好 似,有 有 我 好似
有 — 有 — 我 好 似,有 有 我 好似,有 — 有 — 我 好 似,有 有 我 好似
點 解 —,點解,點 解 —,點解
都 喺 呢 — 都 喺 呢 邊 南 加 州 讀 .,都 喺 呢 都 喺 呢 邊 南 加州 讀,都 喺 呢 — 都 喺 呢 邊 南 加 州 讀 .,都 喺 呢 都 喺 呢 邊 南 加州 讀
話 都 話 自 己 — 其 實 都 好 複 雜 應 為 你 講 到 話 我 都 好,話 都 話 自己 其實 都 好 複雜 應 為 你 講到話 我 都 好,"話 都 話 自 己 — 其 實 都 好 複 雜 應 為 你 講 到 話 我 都 好 細 個 過 嚟 其 實 我 都 唔 知 道 ,",話 都 話 自己 其實 都 好 複雜 應 為 你 講到話 我 都 好 細個 過嚟 其實 我 都 唔知 道
"學 — 學 佬 話 因 為 我 屋 企 人 係 學 佬 嘅 — ,",學 學 佬 話 因為 我 屋企人 係 學 佬 嘅,"學 — 學 佬 話 因 為 我 屋 企 人 係 學 佬 嘅 — ,",學 學 佬 話 因為 我 屋企人 係 學 佬 嘅
"學 — 學 佬 話 因 為 我 屋 企 人 係 學 佬 嘅 — ,",學 學 佬 話 因為 我 屋企人 係 學 佬 嘅,"學 — 學 佬 話 因 為 我 屋 企 人 係 學 佬 嘅 — ,",學 學 佬 話 因為 我 屋企人 係 學 佬 嘅
都 少 都 會 講 — 講 返 中 文 .,都 少 都 會 講 講返 中文,都 少 都 會 講 — 講 返 中 文 .,都 少 都 會 講 講返 中文
燈 有 啲 人 可 能 會 話 上 班 但 係 你 話 返 — 我 話 返 工 可 能 會 上 班 有 啲 人 就 會 有,燈 有啲 人 可能 會話 上班 但係 你 話 返 我 話 返工 可能 會 上班 有啲 人 就 會 有,關 燈 有 啲 人 可 能 會 話 上 班 但 係 你 話 返 — 我 話 返 工 可 能 會 上 班 有 啲 人 就 會 有 啲 人 咁 講 係 啦 好 似 你 講 老 師 但 係 佢 講,關 燈 有啲 人 可能 會話 上班 但係 你 話 返 我 話 返工 可能 會 上班 有啲 人 就 會 有啲 人 咁 講 係 啦 好似 你 講 老師 但係 佢 講
定 係 — .,定係,定 係 — .,定係
"即 係 你 — 你 係 唔 係 嗰 個 ,",即係 你 你 係唔係 嗰個,"即 係 你 — 你 係 唔 係 嗰 個 ,",即係 你 你 係唔係 嗰個
", 有 幾 個 字 無 同 , 不 過 . . 我 淨 係 — 我 淨 係 聽 到 係 唔 同 , 不 過 我 唔 知 度",有 幾 個 字 無 同 不過 我 淨係 我 淨係 聽到 係 唔同 不過 我 唔知 度,"佢 哋 用 呢 字 , 有 幾 個 字 無 同 , 不 過 . . 我 淨 係 — 我 淨 係 聽 到 係 唔 同 , 不 過 我 唔 知 度 咩 意 思 .",佢哋 用 呢 字 有 幾 個 字 無 同 不過 我 淨係 我 淨係 聽到 係 唔同 不過 我 唔知 度 咩意思
如 果 有 我 應 該 . . — 我 可 能 無 記 得 咗,如果 有 我 應該 我 可能 無 記得 咗,如 果 有 我 應 該 . . — 我 可 能 無 記 得 咗,如果 有 我 應該 我 可能 無 記得 咗
"係 個 — 唔 係 佢 講 乜 嘢 , 係 . . 佢 係 個 . .",係 個 唔係 佢 講乜 嘢 係 佢 係 個,"係 個 — 唔 係 佢 講 乜 嘢 , 係 . . 佢 係 個 . . 口 音 噉 樣 , 個",係 個 唔係 佢 講乜 嘢 係 佢 係 個 口音 噉樣 個
我 未 聽 過 — 我 未 聽 過 呢 個,我 未聽過 我 未聽過 呢個,我 未 聽 過 — 我 未 聽 過 呢 個,我 未聽過 我 未聽過 呢個
"我 唔 — 我 應 該 唔 會 睇 得 出 , 如 果 佢 — 我 應",我 唔 我 應該 唔會 睇 得 出 如果 佢 我 應,"我 唔 — 我 應 該 唔 會 睇 得 出 , 如 果 佢 — 我 應 該 唔 會 睇 得 出 , 不 過 我 睇 得 出 , 如 果 佢 唔 係 廣 州 嚟 嘅 — 廣 州 嚟 嘅 人 .",我 唔 我 應該 唔會 睇 得 出 如果 佢 我 應該 唔會 睇 得 出 不過 我 睇 得 出 如果 佢 唔係 廣州 嚟 嘅 廣州 嚟 嘅 人
"我 唔 — 我 應 該 唔 會 睇 得 出 , 如 果 佢 — 我 應",我 唔 我 應該 唔會 睇 得 出 如果 佢 我 應,"我 唔 — 我 應 該 唔 會 睇 得 出 , 如 果 佢 — 我 應 該 唔 會 睇 得 出 , 不 過 我 睇 得 出 , 如 果 佢 唔 係 廣 州 嚟 嘅 — 廣 州 嚟 嘅 人 .",我 唔 我 應該 唔會 睇 得 出 如果 佢 我 應該 唔會 睇 得 出 不過 我 睇 得 出 如果 佢 唔係 廣州 嚟 嘅 廣州 嚟 嘅 人
"我 唔 — 我 應 該 唔 會 睇 得 出 , 如 果 佢 — 我 應",我 唔 我 應該 唔會 睇 得 出 如果 佢 我 應,"我 唔 — 我 應 該 唔 會 睇 得 出 , 如 果 佢 — 我 應 該 唔 會 睇 得 出 , 不 過 我 睇 得 出 , 如 果 佢 唔 係 廣 州 嚟 嘅 — 廣 州 嚟 嘅 人 .",我 唔 我 應該 唔會 睇 得 出 如果 佢 我 應該 唔會 睇 得 出 不過 我 睇 得 出 如果 佢 唔係 廣州 嚟 嘅 廣州 嚟 嘅 人
"我 覺 得 係 好 — 我 覺 得 係 重 要 , 呢 兩 個 地 方 . . 唔",我 覺得 係 好 我 覺得 係 重要 呢 兩 個 地方 唔,"我 覺 得 係 好 — 我 覺 得 係 重 要 , 呢 兩 個 地 方 . . 唔 因 為 : : 好 似 噉 有 個",我 覺得 係 好 我 覺得 係 重要 呢 兩 個 地方 唔 因為 好似 噉有 個
"唔 應 該 啊 , 應 該 唔 — 唔 應 該 . . 因 為 , 廣 州 話 , 淨 係 —",唔 應該 啊 應該 唔 唔 應該 因為 廣州話 淨係,"唔 應 該 啊 , 應 該 唔 — 唔 應 該 . . 因 為 , 廣 州 話 , 淨 係 — 廣 東 話 , 淨 係 喺 . . 香 港 講 , 廣 東 : : 噉 樣 .",唔 應該 啊 應該 唔 唔 應該 因為 廣州話 淨係 廣東話 淨係 喺 香港 講 廣東 噉樣
"唔 應 該 啊 , 應 該 唔 — 唔 應 該 . . 因 為 , 廣 州 話 , 淨 係 —",唔 應該 啊 應該 唔 唔 應該 因為 廣州話 淨係,"唔 應 該 啊 , 應 該 唔 — 唔 應 該 . . 因 為 , 廣 州 話 , 淨 係 — 廣 東 話 , 淨 係 喺 . . 香 港 講 , 廣 東 : : 噉 樣 .",唔 應該 啊 應該 唔 唔 應該 因為 廣州話 淨係 廣東話 淨係 喺 香港 講 廣東 噉樣
多 數 都 係 同 家 人 . . . — 家 人 噉 樣 囉 .,多數 都 係 同 家人 家人 噉樣 囉,多 數 都 係 同 家 人 . . . — 家 人 噉 樣 囉 .,多數 都 係 同 家人 家人 噉樣 囉
": 美 國 好 容 易 唔 記 得 細 全 部 哋 中 國 — 全 部 哋 都 中 文 , 好 容 易 唔 記 得 晒 .",美國 好 容易 唔記得 細 全部 哋 中國 全部 哋 都 中文 好 容易 唔記得 晒,"因 為 其 實 喺 : : 美 國 好 容 易 唔 記 得 細 全 部 哋 中 國 — 全 部 哋 都 中 文 , 好 容 易 唔 記 得 晒 .",因為 其實 喺 美國 好 容易 唔記得 細 全部 哋 中國 全部 哋 都 中文 好 容易 唔記得 晒
其 實 —,其實,其 實 —,其實
— 係 我 自 己 . . 睇 個,係 我 自己 睇 個,— 係 我 自 己 . . 睇 個,係 我 自己 睇 個
"諗 我 唔 係 中 — 唔 — 我 唔 係 中 國 人 , 係 美 國 人 , 噉",諗 我 唔係 中 唔 我 唔係 中國人 係 美國人 噉,"諗 我 唔 係 中 — 唔 — 我 唔 係 中 國 人 , 係 美 國 人 , 噉 樣 .",諗 我 唔係 中 唔 我 唔係 中國人 係 美國人 噉樣
"諗 我 唔 係 中 — 唔 — 我 唔 係 中 國 人 , 係 美 國 人 , 噉",諗 我 唔係 中 唔 我 唔係 中國人 係 美國人 噉,"諗 我 唔 係 中 — 唔 — 我 唔 係 中 國 人 , 係 美 國 人 , 噉 樣 .",諗 我 唔係 中 唔 我 唔係 中國人 係 美國人 噉樣
用 —,用,用 —,用
同 朋 友 即 係 唔 —   同 朋 友 即 係 唔 —   整 係 講 英 文 個,同 朋友 即係 唔 同 朋友 即係 唔 整 係 講 英文 個,"同 朋 友 即 係 唔 —   同 朋 友 即 係 唔 —   整 係 講 英 文 個 啲 ,   個 啲 朋 友 ,   就 會 : :   就 會 用 英 文 .",同 朋友 即係 唔 同 朋友 即係 唔 整 係 講 英文 個 啲 個 啲 朋友 就 會 就 會 用 英文
同 朋 友 即 係 唔 —   同 朋 友 即 係 唔 —   整 係 講 英 文 個,同 朋友 即係 唔 同 朋友 即係 唔 整 係 講 英文 個,"同 朋 友 即 係 唔 —   同 朋 友 即 係 唔 —   整 係 講 英 文 個 啲 ,   個 啲 朋 友 ,   就 會 : :   就 會 用 英 文 .",同 朋友 即係 唔 同 朋友 即係 唔 整 係 講 英文 個 啲 個 啲 朋友 就 會 就 會 用 英文
--,,"( 跟 住 )   返 返 嚟 我 都 喺 : : 度 - -     即 係 都 喺 度 ,   即 係 買 咗 間 屋 噉 樣 樣 囉 .",跟住 返 返嚟 我 都 喺 度 即係 都 喺度 即係 買 咗 間屋 噉樣樣 囉
--,,"噉 如 - -   噉 噉 噉 如 果 我 話 係 香 港 人 唔 重 - -   ( 雖 然 ) 我 係 嚟 咗 美 國 都 成 - -   都 好 耐 啦 ,   但 係 如 果 我 : :   . .   唔 係 : :   香 港 人 嚟 嘅 話 ,   我 唔 會 知 道 ,   即 係 我 本 身 - -   即 係 - -   我 ( 會 覺 ) 我 個",噉 如 噉 噉 噉 如果 我 話 係 香港人 唔 重 雖然 我 係 嚟 咗 美國 都 成 都 好耐 啦 但係 如果 我 唔係 香港人 嚟 嘅話 我 唔會 知道 即係 我 本身 即係 我 會 覺 我 個
