original,cleaned,annotation_text_before,annotation_text_after
uess it's-- it's,uess it's it's,"So-- so um-- I guess it's-- it's, it's quite... diverse on how you try to define?, um what's gonna constitute.. of a Hong Konger?",So so um I guess it's it's it's quite diverse on how you try to define um what's gonna constitute of a Hong Konger
um--,um,um--,um
an a bit--  you,an a bit you,"So, em well on the broader terms, as long as you have an Asian skin, em, I guess typical Asian face, and you can speak any of the, Chinese languages or dialect. um you can a bit--  you can already sort of classify, as Chinese?",So em well on the broader terms as long as you have an Asian skin em I guess typical Asian face and you can speak any of the Chinese languages or dialect um you can a bit you can already sort of classify as Chinese
"i, I moved-- I me",i I moved I me,"And when I was in uni, I moved-- I mean I stayed in dorm so-- cccasionally I was just between the island side, and Yuen Long.",And when I was in uni I moved I mean I stayed in dorm so cccasionally I was just between the island side and Yuen Long
dorm so-- ccca,dorm so ccca,"And when I was in uni, I moved-- I mean I stayed in dorm so-- cccasionally I was just between the island side, and Yuen Long.",And when I was in uni I moved I mean I stayed in dorm so cccasionally I was just between the island side and Yuen Long
", or or-- so--",or or so,"That's the first part what's the second part, like you have a passport or something? , or or-- so--",That's the first part what's the second part like you have a passport or something or or so
", or or-- so--",or or so,"That's the first part what's the second part, like you have a passport or something? , or or-- so--",That's the first part what's the second part like you have a passport or something or or so
 the time-- I am,the time I am,"Currently, working, most of the time-- I am going back to study soon so.",Currently working most of the time I am going back to study soon so
 and raised-- uh l,and raised uh l,"And then you will say you're part of that community? , em, but you need not to be born and raised-- uh like need to be like born in Hong Kong in order to be a Hong Konger.",And then you will say you're part of that community em but you need not to be born and raised uh like need to be like born in Hong Kong in order to be a Hong Konger
eh--,eh,eh--,eh
"ity, that-- em h",ity that em h,"Is that you probably have to encounter on a certain part of your life, and you're loving that city, and you feel, you know, that city, that-- em how do I say-- connect with you in a personal level so you really feel like that's your home?",Is that you probably have to encounter on a certain part of your life and you're loving that city and you feel you know that city that em how do I say connect with you in a personal level so you really feel like that's your home
do I say-- conn,do I say conn,"Is that you probably have to encounter on a certain part of your life, and you're loving that city, and you feel, you know, that city, that-- em how do I say-- connect with you in a personal level so you really feel like that's your home?",Is that you probably have to encounter on a certain part of your life and you're loving that city and you feel you know that city that em how do I say connect with you in a personal level so you really feel like that's your home
"X, X-X-X-X.",,"X, X-X-X-X.",
"-- eh, mm::",eh mm,"-- eh, mm::",eh mm
eh-- ,eh,eh-- ,eh
nd I think-- I-- ,nd I think I,"Chinese, um, there are there are really different kinds of.. Chinese.. dialects, .. and I think-- I-- I am not familiar with a lot of.. the kinds, but at least um, mm:: Cantonese, um, and then Shanghai has got its dialect, and then, in-- in Fukien.",Chinese um there are there are really different kinds of Chinese dialects and I think I I am not familiar with a lot of the kinds but at least um mm Cantonese um and then Shanghai has got its dialect and then in in Fukien
nk-- I-- I am,nk I I am,"Chinese, um, there are there are really different kinds of.. Chinese.. dialects, .. and I think-- I-- I am not familiar with a lot of.. the kinds, but at least um, mm:: Cantonese, um, and then Shanghai has got its dialect, and then, in-- in Fukien.",Chinese um there are there are really different kinds of Chinese dialects and I think I I am not familiar with a lot of the kinds but at least um mm Cantonese um and then Shanghai has got its dialect and then in in Fukien
"hen, in-- in F",hen in in F,"Chinese, um, there are there are really different kinds of.. Chinese.. dialects, .. and I think-- I-- I am not familiar with a lot of.. the kinds, but at least um, mm:: Cantonese, um, and then Shanghai has got its dialect, and then, in-- in Fukien.",Chinese um there are there are really different kinds of Chinese dialects and I think I I am not familiar with a lot of the kinds but at least um mm Cantonese um and then Shanghai has got its dialect and then in in Fukien
"ink, I-- I-- ",ink I I,"I think, I-- I-- I don't want to say one kind is better than the other, or that Mandarin is, the-- the best, the correct kind of Chinese.",I think I I I don't want to say one kind is better than the other or that Mandarin is the the best the correct kind of Chinese
 I-- I-- I do,I I I do,"I think, I-- I-- I don't want to say one kind is better than the other, or that Mandarin is, the-- the best, the correct kind of Chinese.",I think I I I don't want to say one kind is better than the other or that Mandarin is the the best the correct kind of Chinese
" is, the-- the ",is the the,"I think, I-- I-- I don't want to say one kind is better than the other, or that Mandarin is, the-- the best, the correct kind of Chinese.",I think I I I don't want to say one kind is better than the other or that Mandarin is the the best the correct kind of Chinese
like I-- I be,like I I be,"Because, like I-- I believe-- believe communication with um Chinese in the broader sense, communicate with other people, is really essential.",Because like I I believe believe communication with um Chinese in the broader sense communicate with other people is really essential
-- I believe-- beli,I believe beli,"Because, like I-- I believe-- believe communication with um Chinese in the broader sense, communicate with other people, is really essential.",Because like I I believe believe communication with um Chinese in the broader sense communicate with other people is really essential
Uh I-- I hard,Uh I I hard,"Uh I-- I hardly had a chance to really-- even even back in U, hardly have a chance to really know someone.",Uh I I hardly had a chance to really even even back in U hardly have a chance to really know someone
e to really-- even,e to really even,"Uh I-- I hardly had a chance to really-- even even back in U, hardly have a chance to really know someone.",Uh I I hardly had a chance to really even even back in U hardly have a chance to really know someone
That is-- they,That is they,That is-- they-- they is coming from elsewhere.,That is they they is coming from elsewhere
is-- they-- they,is they they,That is-- they-- they is coming from elsewhere.,That is they they is coming from elsewhere
hink um::-- yeah,hink um yeah,"Solely Hongkonger, I think um::-- yeah I'm born in Hong Kong and raised in Hong Kong, I-- ... I'm received both-- um I'm immersed in the culture of Hong Kong and that is quite distinct... from:: that of-- that-- that in China.",Solely Hongkonger I think um yeah I'm born in Hong Kong and raised in Hong Kong I I'm received both um I'm immersed in the culture of Hong Kong and that is quite distinct from that of that that in China
"ong, I-- ... ",ong I,"Solely Hongkonger, I think um::-- yeah I'm born in Hong Kong and raised in Hong Kong, I-- ... I'm received both-- um I'm immersed in the culture of Hong Kong and that is quite distinct... from:: that of-- that-- that in China.",Solely Hongkonger I think um yeah I'm born in Hong Kong and raised in Hong Kong I I'm received both um I'm immersed in the culture of Hong Kong and that is quite distinct from that of that that in China
ived both-- um I,ived both um I,"Solely Hongkonger, I think um::-- yeah I'm born in Hong Kong and raised in Hong Kong, I-- ... I'm received both-- um I'm immersed in the culture of Hong Kong and that is quite distinct... from:: that of-- that-- that in China.",Solely Hongkonger I think um yeah I'm born in Hong Kong and raised in Hong Kong I I'm received both um I'm immersed in the culture of Hong Kong and that is quite distinct from that of that that in China
that of-- that,that of that,"Solely Hongkonger, I think um::-- yeah I'm born in Hong Kong and raised in Hong Kong, I-- ... I'm received both-- um I'm immersed in the culture of Hong Kong and that is quite distinct... from:: that of-- that-- that in China.",Solely Hongkonger I think um yeah I'm born in Hong Kong and raised in Hong Kong I I'm received both um I'm immersed in the culture of Hong Kong and that is quite distinct from that of that that in China
of-- that-- that,of that that,"Solely Hongkonger, I think um::-- yeah I'm born in Hong Kong and raised in Hong Kong, I-- ... I'm received both-- um I'm immersed in the culture of Hong Kong and that is quite distinct... from:: that of-- that-- that in China.",Solely Hongkonger I think um yeah I'm born in Hong Kong and raised in Hong Kong I I'm received both um I'm immersed in the culture of Hong Kong and that is quite distinct from that of that that in China
.. a Cantonese-speaking pers,a Cantonese speaking pers,"Um, mostly Hong Konger, mostly, um... by Hong Konger I mean.. a Cantonese-speaking person.",Um mostly Hong Konger mostly um by Hong Konger I mean a Cantonese speaking person
here is-- ther,here is ther,"Um yes, um, there is-- there are religious classes, I think, but um, yeah I didn't pick it up.",Um yes um there is there are religious classes I think but um yeah I didn't pick it up
 few of-- a fe,few of a fe,"Um, I mean uh, there are a few of-- a few really a few of them, coming from China but really they see themselves at Hong Konger too.",Um I mean uh there are a few of a few really a few of them coming from China but really they see themselves at Hong Konger too
haps that-- perh,haps that perh,"Um:: , perhaps that-- perhaps a person would uh like to read Chinese literature because um, a Chinese, um-- in the broader sense Chinese is-- China has a got a long history and.. plenty of.. uh li-- good literature.",Um perhaps that perhaps a person would uh like to read Chinese literature because um a Chinese um in the broader sense Chinese is China has a got a long history and plenty of uh li good literature
"ese, um-- in t",ese um in t,"Um:: , perhaps that-- perhaps a person would uh like to read Chinese literature because um, a Chinese, um-- in the broader sense Chinese is-- China has a got a long history and.. plenty of.. uh li-- good literature.",Um perhaps that perhaps a person would uh like to read Chinese literature because um a Chinese um in the broader sense Chinese is China has a got a long history and plenty of uh li good literature
nese is-- Chin,nese is Chin,"Um:: , perhaps that-- perhaps a person would uh like to read Chinese literature because um, a Chinese, um-- in the broader sense Chinese is-- China has a got a long history and.. plenty of.. uh li-- good literature.",Um perhaps that perhaps a person would uh like to read Chinese literature because um a Chinese um in the broader sense Chinese is China has a got a long history and plenty of uh li good literature
. uh li-- good,uh li good,"Um:: , perhaps that-- perhaps a person would uh like to read Chinese literature because um, a Chinese, um-- in the broader sense Chinese is-- China has a got a long history and.. plenty of.. uh li-- good literature.",Um perhaps that perhaps a person would uh like to read Chinese literature because um a Chinese um in the broader sense Chinese is China has a got a long history and plenty of uh li good literature
code-switching,code switching,code-switching,code switching
uh::--,uh,uh::--,uh
I mean-- I think,I mean I think,I mean-- I think it's a Protestant Christian background.,I mean I think it's a Protestant Christian background
o is to--... to m,o is to to m,"Because what we do is to--... to make-- to create workbooks, um textbooks and.. really, most students, will need uh some Chinese-- some Hong Kong style.. uh text or learning materials.",Because what we do is to to make to create workbooks um textbooks and really most students will need uh some Chinese some Hong Kong style uh text or learning materials
. to make-- to c,to make to c,"Because what we do is to--... to make-- to create workbooks, um textbooks and.. really, most students, will need uh some Chinese-- some Hong Kong style.. uh text or learning materials.",Because what we do is to to make to create workbooks um textbooks and really most students will need uh some Chinese some Hong Kong style uh text or learning materials
some Chinese-- some,some Chinese some,"Because what we do is to--... to make-- to create workbooks, um textbooks and.. really, most students, will need uh some Chinese-- some Hong Kong style.. uh text or learning materials.",Because what we do is to to make to create workbooks um textbooks and really most students will need uh some Chinese some Hong Kong style uh text or learning materials
I-- I.. don't,I I don't,"I-- I.. don't think it is complete necessity but um, it is better that they speak a kind of Chinese, some kind of Chinese.",I I don't think it is complete necessity but um it is better that they speak a kind of Chinese some kind of Chinese
 are rac-- raci,are rac raci,"Really, a few of them, um:: are rac-- racially South Asian origin, but I'm not sure how they identify themselves.",Really a few of them um are rac racially South Asian origin but I'm not sure how they identify themselves
like there-- ther,like there ther,"Uh yeah like there-- there were activities like singing hymn, reading the Bible.",Uh yeah like there there were activities like singing hymn reading the Bible
hool is-- uh h,hool is uh h,My primary school is-- uh has a Christian background.,My primary school is uh has a Christian background
And I-- I lis,And I I lis,"And I-- I listen to Canton songs, watch Hong Kong movie, I think... that-- that makes me Hong Konger.",And I I listen to Canton songs watch Hong Kong movie I think that that makes me Hong Konger
k... that-- that,k that that,"And I-- I listen to Canton songs, watch Hong Kong movie, I think... that-- that makes me Hong Konger.",And I I listen to Canton songs watch Hong Kong movie I think that that makes me Hong Konger
e to be-- they,e to be they,"I think, they have to be-- they have to be in Hong Kong for a long time but they don't have to be born in here?",I think they have to be they have to be in Hong Kong for a long time but they don't have to be born in here
ause it-- it--,ause it it,"Well at least, they have to know a little bit to make them Hong Konger, because it-- it-- it um language actually bars, uh, limits someone's success to their cultural-- the-- the cultural es-- essence.",Well at least they have to know a little bit to make them Hong Konger because it it it um language actually bars uh limits someone's success to their cultural the the cultural es essence
it-- it-- it u,it it it u,"Well at least, they have to know a little bit to make them Hong Konger, because it-- it-- it um language actually bars, uh, limits someone's success to their cultural-- the-- the cultural es-- essence.",Well at least they have to know a little bit to make them Hong Konger because it it it um language actually bars uh limits someone's success to their cultural the the cultural es essence
heir cultural-- the-,heir cultural the,"Well at least, they have to know a little bit to make them Hong Konger, because it-- it-- it um language actually bars, uh, limits someone's success to their cultural-- the-- the cultural es-- essence.",Well at least they have to know a little bit to make them Hong Konger because it it it um language actually bars uh limits someone's success to their cultural the the cultural es essence
al-- the-- the ,al the the,"Well at least, they have to know a little bit to make them Hong Konger, because it-- it-- it um language actually bars, uh, limits someone's success to their cultural-- the-- the cultural es-- essence.",Well at least they have to know a little bit to make them Hong Konger because it it it um language actually bars uh limits someone's success to their cultural the the cultural es essence
ural es-- esse,ural es esse,"Well at least, they have to know a little bit to make them Hong Konger, because it-- it-- it um language actually bars, uh, limits someone's success to their cultural-- the-- the cultural es-- essence.",Well at least they have to know a little bit to make them Hong Konger because it it it um language actually bars uh limits someone's success to their cultural the the cultural es essence
"eah, my-- my f",eah my my f,"Yeah, my-- my father's parents.",Yeah my my father's parents
@ -- eh:: ..,eh,@ -- eh:: ... ,eh
"e, I -- (are",e I are,"I would always speak to them in English? Even if I was in Hong Kong because.. I only process that information in English, so like I don't know all the terms, right? But, uh::.. someone else might go to the doctor and like prefer Cantonese like, I -- (are you) are you asking about those situations? ",I would always speak to them in English Even if I was in Hong Kong because I only process that information in English so like I don't know all the terms right But uh someone else might go to the doctor and like prefer Cantonese like I are you are you asking about those situations
) -- uh ,uh,) -- uh ,uh
", it -- ... ",it," uh:: I mean like even if I'm, speaking to you in English right now, or, if I say the same thing in Cantonese, it -- ... I don't really like feel anything different about it, I'm just.. expressing what I think? It's just using different languages.",uh I mean like even if I'm speaking to you in English right now or if I say the same thing in Cantonese it I don't really like feel anything different about it I'm just expressing what I think It's just using different languages
like mid-conversation? Or s,like mid conversation Or s,"Uh:: switching like mid-conversation? Or switching in like a particular situation? They must have like a reason to do it, right? Like maybe they feel that, uh, their:: language skills aren't as strong in one situation or another, like if you're speaking to a doctor or something and you want information in a ",Uh switching like mid conversation Or switching in like a particular situation They must have like a reason to do it right Like maybe they feel that uh their language skills aren't as strong in one situation or another like if you're speaking to a doctor or something and you want information in a
 (X) -- ,, (X) -- ,
 -- you can ,you can," -- you can identify yourself as that if you wanted to, I guess.",you can identify yourself as that if you wanted to I guess
 eh:: -- ,eh, eh:: -- ,eh
 -- eh:: ,eh, -- eh:: ,eh
till -- you ,till you,'Cause you can still -- you can neglect your kids all you want... and they can end up with almost no.. cultural influences.,Cause you can still you can neglect your kids all you want and they can end up with almost no cultural influences
et a -- conn,et a conn,"I get a -- connects me to people who speak the same language, and circulates, uh:: (X)(X)(X)(X)",I get a connects me to people who speak the same language and circulates uh
ture -- I --,ture I,"So those tend to be reliable indicators of people with, uh:: long standing and um"""" committed influences to Cantonese culture -- I -- or identity.",So those tend to be reliable indicators of people with uh long standing and um committed influences to Cantonese culture I or identity
-- I -- or i,I or i,"So those tend to be reliable indicators of people with, uh:: long standing and um"""" committed influences to Cantonese culture -- I -- or identity.",So those tend to be reliable indicators of people with uh long standing and um committed influences to Cantonese culture I or identity
 (X)-- ,, (X)-- ,
", if -- I kn",if I kn,"But generally, if -- I know someone speaks Cantonese I try to speak it to them to.. help keep the language alive.",But generally if I know someone speaks Cantonese I try to speak it to them to help keep the language alive
"i na -- uh, ",i na uh,"Uh:: zai na -- uh, uh ",Uh zai na uh uh
", uh -- I re",uh I re," I did do some research onto things like, uh -- I realized that jyutping is a, uh, a great standard in general, but.. it doesn't take advantage of the full keyboard so, you can type faster if you.. have something based off of jyutping, but, uh:: ...",I did do some research onto things like uh I realized that jyutping is a uh a great standard in general but it doesn't take advantage of the full keyboard so you can type faster if you have something based off of jyutping but uh
 -- uh:: XXX,uh, -- uh:: XXXXX.,uh
follow-up,follow up,follow-up,follow up
deep-rooted,deep rooted,deep-rooted,deep rooted
"w, I -- for ",w I for,"I don't know, I -- for some reason I was thinking 10 years@, at least? @@@",I don't know I for some reason I was thinking 10 years at least
also -- I fe,also I fe,"But then I also -- I feel like I have a very strong Hong Kong component because I, I do, I used to at least, you know, spend summers there, go back once a year, my family -- obviously my family still lives there?",But then I also I feel like I have a very strong Hong Kong component because I I do I used to at least you know spend summers there go back once a year my family obviously my family still lives there
mily -- obvi,mily obvi,"But then I also -- I feel like I have a very strong Hong Kong component because I, I do, I used to at least, you know, spend summers there, go back once a year, my family -- obviously my family still lives there?",But then I also I feel like I have a very strong Hong Kong component because I I do I used to at least you know spend summers there go back once a year my family obviously my family still lives there
in a English-speaking coun,in a English speaking coun,"You know, if she, you know, interacts with her dad, who is not Cantonese, he speaks English, and so it's really hard to um... I think maintain a lot of the Hong Kong culture and language, um, when you're in a English-speaking country.",You know if she you know interacts with her dad who is not Cantonese he speaks English and so it's really hard to um I think maintain a lot of the Hong Kong culture and language um when you're in a English speaking country
I don't --,I don't,I don't --,I don't
more -- I'm ,more I'm,"If I'm speaking Cantonese though, it's more -- I'm more likely speak -- to switch to English words, especially if they're words I just can't think of in Cantonese. @",If I'm speaking Cantonese though it's more I'm more likely speak to switch to English words especially if they're words I just can't think of in Cantonese
peak -- to s,peak to s,"If I'm speaking Cantonese though, it's more -- I'm more likely speak -- to switch to English words, especially if they're words I just can't think of in Cantonese. @",If I'm speaking Cantonese though it's more I'm more likely speak to switch to English words especially if they're words I just can't think of in Cantonese
onsi -- so i,onsi so i,"I consi -- so if it's between Hong Konger or Chinese, I'll probably consider myself more Hong Kong?",I consi so if it's between Hong Konger or Chinese I'll probably consider myself more Hong Kong
se I -- I'm ,se I I'm,"I guess honestly it's a little bit... jarring sometimes for me to hear it, because I -- I'm not used to hearing English in that accent, and so I have to, like... listen closer?",I guess honestly it's a little bit jarring sometimes for me to hear it because I I'm not used to hearing English in that accent and so I have to like listen closer
ve a one-year old ,ve a one year old,"I guess one example I have is um, I have, I have a one-year old daughter.",I guess one example I have is um I have I have a one year old daughter
king -- let',king let,I have friends who also have I think... parents.. from a Cantonese... speaking -- let's say Hong Kong or Guangdong.,I have friends who also have I think parents from a Cantonese speaking let's say Hong Kong or Guangdong
ho's -- ... ,ho's,"If it's someone who's like I guess, the only time I might feel:: something is if it's (it's), like maybe someone who's -- ... like let's say it's a Cantonese speaker trying to learn --",If it's someone who's like I guess the only time I might feel something is if it's it's like maybe someone who's like let's say it's a Cantonese speaker trying to learn
 to learn --,to learn,"If it's someone who's like I guess, the only time I might feel:: something is if it's (it's), like maybe someone who's -- ... like let's say it's a Cantonese speaker trying to learn --",If it's someone who's like I guess the only time I might feel something is if it's it's like maybe someone who's like let's say it's a Cantonese speaker trying to learn
said -- I th,said I th,"But then I said -- I thought maybe because... I was thinking about some of my cousins who grew up, you know, in America, and:: you know, they speak Cantonese, but they learned it purely just from, you know, learning from their parents, so you can hear there's an American accent to their Cantonese?",But then I said I thought maybe because I was thinking about some of my cousins who grew up you know in America and you know they speak Cantonese but they learned it purely just from you know learning from their parents so you can hear there's an American accent to their Cantonese
 her -- yeah,her yeah,Uh:: 'cause I don't remember of her -- yeah.,Uh cause I don't remember of her yeah
know -- I fe,know I fe,"I mean I know -- I feel like the political system in America's, you know, different, where people might say immigrants aren't true Americans, but I I guess I don't hold that viewpoint.",I mean I know I feel like the political system in America's you know different where people might say immigrants aren't true Americans but I I guess I don't hold that viewpoint
ld s -- I'd ,ld s I'd,I would s -- I'd say I speak a Hong Kong dialect of Cantonese.,I would s I'd say I speak a Hong Kong dialect of Cantonese
here -- I th,here I th,"I think so, I think there -- I think there should be uh:: understanding of the culture, understanding of the language, probably roots, like if their family, XXX I don't think --",I think so I think there I think there should be uh understanding of the culture understanding of the language probably roots like if their family I don't think
n't think --,n't think,"I think so, I think there -- I think there should be uh:: understanding of the culture, understanding of the language, probably roots, like if their family, XXX I don't think --",I think so I think there I think there should be uh understanding of the culture understanding of the language probably roots like if their family I don't think
hink -- I gr,hink I gr,"But because I'm able to, I think -- I grew up in a predominantly white.. uh:: community, or at least English-speaking community.. but I think I, I -- that's why I put the American first?",But because I'm able to I think I grew up in a predominantly white uh community or at least English speaking community but I think I I that's why I put the American first
east English-speaking comm,east English speaking comm,"But because I'm able to, I think -- I grew up in a predominantly white.. uh:: community, or at least English-speaking community.. but I think I, I -- that's why I put the American first?",But because I'm able to I think I grew up in a predominantly white uh community or at least English speaking community but I think I I that's why I put the American first
"I, I -- that",I I that,"But because I'm able to, I think -- I grew up in a predominantly white.. uh:: community, or at least English-speaking community.. but I think I, I -- that's why I put the American first?",But because I'm able to I think I grew up in a predominantly white uh community or at least English speaking community but I think I I that's why I put the American first
like -- if s,like if s,"So right now she understands it, but she'll like -- if she responds back to me, it's in English.",So right now she understands it but she'll like if she responds back to me it's in English
n an English-speaking envi,n an English speaking envi,"I think my expectations have shifted since, before I had her to now because I'm only realizing how difficult it is, to:: have her learn Cantonese in an English-speaking environement?",I think my expectations have shifted since before I had her to now because I'm only realizing how difficult it is to have her learn Cantonese in an English speaking environement
 um:: -- hm?,um hm,They have um:: -- hm?,They have um hm
ican -- like,ican like,Yeah like if I don't know just living you know... among:: all:: American -- like American friends while you're there (an) expat I guess?,Yeah like if I don't know just living you know among all American like American friends while you're there an expat I guess
"h my in-laws, beca",h my in laws beca,"With my in-laws, because they are -- they don't speak English or Chi -- er, Cantonese, I use Mandarin @ with @ them.@",With my in laws because they are they don't speak English or Chi er Cantonese I use Mandarin with them
 are -- they,are they,"With my in-laws, because they are -- they don't speak English or Chi -- er, Cantonese, I use Mandarin @ with @ them.@",With my in laws because they are they don't speak English or Chi er Cantonese I use Mandarin with them
" Chi -- er, ",Chi er,"With my in-laws, because they are -- they don't speak English or Chi -- er, Cantonese, I use Mandarin @ with @ them.@",With my in laws because they are they don't speak English or Chi er Cantonese I use Mandarin with them
d if they --,d if they,Oh and if they --,Oh and if they
to a -- like,to a like,"But:: you know I think usually it's just like, whatever environment I'm in, like if, if I'm like listening to a -- like if I have like a, like a Cantonese show in the background or my parents are speaking Cantonese, I'm more inclined to speak Cantonese, because I -- it's just the way I want to fit in:: or you know, wanted to, have them understand me better.",But you know I think usually it's just like whatever environment I'm in like if if I'm like listening to a like if I have like a like a Cantonese show in the background or my parents are speaking Cantonese I'm more inclined to speak Cantonese because I it's just the way I want to fit in or you know wanted to have them understand me better
se I -- it's,se I it's,"But:: you know I think usually it's just like, whatever environment I'm in, like if, if I'm like listening to a -- like if I have like a, like a Cantonese show in the background or my parents are speaking Cantonese, I'm more inclined to speak Cantonese, because I -- it's just the way I want to fit in:: or you know, wanted to, have them understand me better.",But you know I think usually it's just like whatever environment I'm in like if if I'm like listening to a like if I have like a like a Cantonese show in the background or my parents are speaking Cantonese I'm more inclined to speak Cantonese because I it's just the way I want to fit in or you know wanted to have them understand me better
I've -- I've,I've I've,"And I've -- I've tried it too, it's just hard to find the right words to speak, about emotions in Cantonese, maybe I just don't know them or maybe the vocabulary is just different from English?",And I've I've tried it too it's just hard to find the right words to speak about emotions in Cantonese maybe I just don't know them or maybe the vocabulary is just different from English
if I -- my a,if I my a,"'Cause if I -- my assumption is that if you lived in Hong Kong, your, your your uh... accent would have changed over the years.",Cause if I my assumption is that if you lived in Hong Kong your your your uh accent would have changed over the years
also -- I fe,also I fe,I think also -- I feel like -- I'm trying to remember right now. ,I think also I feel like I'm trying to remember right now
like -- I'm ,like I'm,I think also -- I feel like -- I'm trying to remember right now. ,I think also I feel like I'm trying to remember right now
"some -- oh, ",some oh,"If I am talking to some -- oh, if they're speaking English to me, can I tell if they're Hong Konger.",If I am talking to some oh if they're speaking English to me can I tell if they're Hong Konger
e ha -- we'v,e ha we'v,We've ha -- we've had a couple more people join who are::,We've ha we've had a couple more people join who are
's a -- I ne,s a I ne,That's a -- I never really thought about that.,That's a I never really thought about that
What) -- oh.,What oh,(What) -- oh.,What oh
lish -- they,lish they,"But um:: ... they don't speak English -- they don't speak Cantonese fluently so often times you know.. they also grew up speaking English, so I think they probably identify more as American than Hong Kong American?",But um they don't speak English they don't speak Cantonese fluently so often times you know they also grew up speaking English so I think they probably identify more as American than Hong Kong American
 say -- okay,say okay,"Oh:: I would say -- okay, that's helpful.",Oh I would say okay that's helpful
y're -- so l,y're so l,Um:: I think they're -- so let's say even on my street. ,Um I think they're so let's say even on my street
 are -- they,are they,"Where, if they are -- they've lived in like, China, for at least 10 years they, speak the language and are able to appreciate the culture?",Where if they are they've lived in like China for at least 10 years they speak the language and are able to appreciate the culture
 say -- I wo,say I wo,"Um:: I would say -- I wouldn't say just -- I would say maybe English is more versatile for me because I'm able to use it in much more settings like professional, with my husband, with my friends, so it does span to professional to intimate, but, but Cantonese I think is definitely more I think, um... yeah, I think more intimate for me.",Um I would say I wouldn't say just I would say maybe English is more versatile for me because I'm able to use it in much more settings like professional with my husband with my friends so it does span to professional to intimate but but Cantonese I think is definitely more I think um yeah I think more intimate for me
just -- I wo,just I wo,"Um:: I would say -- I wouldn't say just -- I would say maybe English is more versatile for me because I'm able to use it in much more settings like professional, with my husband, with my friends, so it does span to professional to intimate, but, but Cantonese I think is definitely more I think, um... yeah, I think more intimate for me.",Um I would say I wouldn't say just I would say maybe English is more versatile for me because I'm able to use it in much more settings like professional with my husband with my friends so it does span to professional to intimate but but Cantonese I think is definitely more I think um yeah I think more intimate for me
In -- indiff,In indiff,In -- indifferent?,In indifferent
en I -- we m,en I we m,"Hong Kong and then San Francisco, then I -- we moved to San Jose, and then um:: for college I went to Berkeley, and then for after work -- I mean after graduating, I went back to San Jose to work, eventually I went to LA for grad school but then I moved back up to San Jose for work now. ",Hong Kong and then San Francisco then I we moved to San Jose and then um for college I went to Berkeley and then for after work I mean after graduating I went back to San Jose to work eventually I went to LA for grad school but then I moved back up to San Jose for work now
work -- I me,work I me,"Hong Kong and then San Francisco, then I -- we moved to San Jose, and then um:: for college I went to Berkeley, and then for after work -- I mean after graduating, I went back to San Jose to work, eventually I went to LA for grad school but then I moved back up to San Jose for work now. ",Hong Kong and then San Francisco then I we moved to San Jose and then um for college I went to Berkeley and then for after work I mean after graduating I went back to San Jose to work eventually I went to LA for grad school but then I moved back up to San Jose for work now
hink -- I do,hink I do,"I think I know what it means, but I don't think -- I don't know if I've heard it.. (framed) like that.",I think I know what it means but I don't think I don't know if I've heard it framed like that
 mom -- she ,mom she,Though they moved to Hong Kong um... maybe my mom -- she went when she was younger. ,Though they moved to Hong Kong um maybe my mom she went when she was younger
it's -- I ha,it's I ha,But it's -- I have a horrible accent.,But it's I have a horrible accent
e an English-speaking envi,e an English speaking envi,"But I think because I live in America, and just because I'm.. often in like an English-speaking environment.. American comes up more?",But I think because I live in America and just because I'm often in like an English speaking environment American comes up more
y... -- I gu,y I gu,"It is important to me because, I want, my... -- I guess I want my daughter to be able to communicate with her grandparents, at least understand them?",It is important to me because I want my I guess I want my daughter to be able to communicate with her grandparents at least understand them
on't -- I do,on't I do,"Um:: I don't -- I don't know, like, I used to say I think, uh ",Um I don't I don't know like I used to say I think uh
that -- like,that like,"If I'm speaking in like short simple phrases I think my accent doesn't usually give me away, but it's, it's how I carry myself, or.. as I get into the conversation the phrases I use that -- like people know I'm probably not a uh, native speaker.",If I'm speaking in like short simple phrases I think my accent doesn't usually give me away but it's it's how I carry myself or as I get into the conversation the phrases I use that like people know I'm probably not a uh native speaker
ving -- at l,ving at l,"There:: has to be I guess, maybe, there's... history there or actually living -- at least if they've lived in Hong Kong for a long time?",There has to be I guess maybe there's history there or actually living at least if they've lived in Hong Kong for a long time
"ke,a Chinese-American pers","ke,a Chinese American pers","I think..um...that would be like,a Chinese-American person.","I think..um...that would be like,a Chinese American person"
"d be Chinese-American,which is i","d be Chinese American,which is i","Because I don't think you have to be Chinese,or American,to..have both cultures,I think you could be Chinese-American,which is its like own category,on its own.","Because I don't think you have to be Chinese,or American,to..have both cultures,I think you could be Chinese American,which is its like own category,on its own"
t as like Chinese-American.,t as like Chinese American,I think I would just label it as like Chinese-American.,I think I would just label it as like Chinese American
feel -- I fe,feel I fe,"Uh:: I, I feel -- I feel like it is, just because I have a lot of friends that aren't, um:: .. like.. Asian, and like, their parents just kind of let them like, do what they want, have a lot of fun, whereas my.. parents growing up it was very strict like.. (go:) like, a lot of tutoring, a lot of like, extracurricular activities, everything was just like, just, like a tiger mom.",Uh I I feel I feel like it is just because I have a lot of friends that aren't um like Asian and like their parents just kind of let them like do what they want have a lot of fun whereas my parents growing up it was very strict like go like a lot of tutoring a lot of like extracurricular activities everything was just like just like a tiger mom
